Nom,Longitude,Latitude,Type,Puissance_Installee_MW,Hauteur_de_chute_m,Nb_turbines,Debits_nom,Type_turbine,eta_turb,Volume_reservoir,nb_turbines_maintenance,id_HQ
Robert-Bourassa,-77.5327778,53.7819444,Reservoir,5616,137.16,16,302.353565055947,Francis,0.91,460702900000,1,
La Grande-4,-73.4652778,53.8866667,Reservoir,2779,116.7,9,312.615591958021,Francis,0.91,19423000000,0,1033
La Grande-3,-75.988438,53.727721,Reservoir,2417,79,12,301.233846075977,Francis,0.91,59994000000,0,1034
La grande-2-A,-77.5491667,53.7794444,Reservoir,2106,138.5,6,299.428267025803,Francis,0.91,6170000000,0,1037
Beauharnois_Francis,-73.877952,45.313216,Fil de l'eau,1241,24.39,26,166.990949519639,Francis,0.91,0,1
Beauharnois_Kaplan,-73.877952,45.313216,Fil de l'eau,623,24.39,10,80.30211545118,Kaplan,0.95,0,0
Manic-5,-68.7269444,50.6397222,Reservoir,1596,141.8,8,166.227212781599,Francis,0.91,135000000000,0,5956
La grande-1,-78.5738889,53.7344444,Fil de l'eau,1436,27.5,12,492.485831661476,Kaplan,0.95,0,0,1038
Rene-Levesque,-68.594444,49.740833,Fil de l'eau,1326,94.19,6,277.218960380418,Francis,0.91,0,0
Jean-Lesage,-68.347221,49.321666,Fil de l'eau,1229,70.11,8,258.891256018714,Francis,0.91,0,0
Bersimis-1,-69.5516667,49.295,Reservoir,1178,266.7,8,65.2330585413746,Francis,0.91,13900000000,1,1019
Manic-5-PA,-68.732893,50.639805,Reservoir,1064,144.5,4,217.494982905936,Francis,0.91,141851000000,0,5956
Outardes-3,-68.722249,49.557075,Fil de l'eau,1026,143.57,4,211.085850557595,Francis,0.91,0,0
Sainte-Marguerite-3,-66.7797222,50.705,Reservoir,882,330,2,149.66845053866,Pelton,0.96,327200000000,0,6416
Laforge-1,-72.6152778,54.1705556,Reservoir,878,57.3,6,301.733893812399,Francis,0.91,6884000000,0,5946
