Nom,Latitude,Longitude,Type,Puissance_Installee_MW,Hauteur_de_chute_m,Nb_turbines,Debits_nom,Type_turbine,eta_turb,Volume_reservoir,nb_turbines_maintenance,id_HQ,enfant,catch_coefficient
Robert-Bourassa,-77.5327778,53.7819444,Reservoir,5616.0,137.16,16.0,302.353565055947,Francis,0.91,460702900000.0,1.0,6416.0,original,1.0
La Grande-4,-73.4652778,53.8866667,Reservoir,2779.0,116.7,9.0,312.615591958021,Francis,0.91,19423000000.0,0.0,1033.0,original,1.0
La Grande-3,-75.988438,53.727721,Reservoir,2417.0,79.0,12.0,301.233846075977,Francis,0.91,59994000000.0,0.0,1034.0,original,1.0
La grande-2-A,-77.5491667,53.7794444,Reservoir,2106.0,138.5,6.0,299.428267025803,Francis,0.91,6170000000.0,0.0,1037.0,original,1.0
Beauharnois_Francis,-73.877952,45.313216,Fil de l'eau,1241.0,24.39,26.0,166.990949519639,Francis,0.91,0.0,1.0,1232.0,original,1.0
Beauharnois_Kaplan,-73.877952,45.313216,Fil de l'eau,623.0,24.39,10.0,80.30211545118,Kaplan,0.95,0.0,0.0,1232.0,original,1.0
Manic-5,-68.7269444,50.6397222,Reservoir,1596.0,141.8,8.0,166.227212781599,Francis,0.91,135000000000.0,0.0,5956.0,original,1.0
La grande-1,-78.5738889,53.7344444,Fil de l'eau,1436.0,27.5,12.0,492.485831661476,Kaplan,0.95,0.0,0.0,1038.0,original,1.0
Rene-Levesque,-68.594444,49.740833,Fil de l'eau,1326.0,94.19,6.0,277.218960380418,Francis,0.91,0.0,0.0,1021.0,Outardes-4,0.35
Jean-Lesage,-68.347221,49.321666,Fil de l'eau,1229.0,70.11,8.0,258.891256018714,Francis,0.91,0.0,0.0,1023.0,Outardes-2,0.35
Bersimis-1,-69.5516667,49.295,Reservoir,1178.0,266.7,8.0,65.2330585413746,Francis,0.91,13900000000.0,1.0,1019.0,original,1.0
Manic-5-PA,-68.732893,50.639805,Reservoir,1064.0,144.5,4.0,217.494982905936,Francis,0.91,141851000000.0,0.0,5956.0,Manic-5,0.9677
Outardes-3,-68.722249,49.557075,Fil de l'eau,1026.0,143.57,4.0,211.085850557595,Francis,0.91,0.0,0.0,1023.0,Outardes-2,0.35
Sainte-Marguerite-3,-66.7797222,50.705,Reservoir,882.0,330.0,2.0,149.66845053866,Pelton,0.96,327200000000.0,0.0,6416.0,original,1.0
Laforge-1,-72.6152778,54.1705556,Reservoir,878.0,57.3,6.0,301.733893812399,Francis,0.91,6884000000.0,0.0,5946.0,original,1.0
Bersimis-2,-69.2291667,49.1752778,Fil de l'eau,845.0,115.83,5.0,172.385646518991,Francis,0.91,0.0,0.0,1020.0,original,1.0
Outardes-4,-68.903611,49.703333,Reservoir,785.0,120.55,4.0,192.343672706841,Francis,0.91,21929000000.0,0.0,1021.0,original,1.0
Bernard-Landry,-76.050483,52.181885,Reservoir,768.0,63.0,3.0,480.10349729421,Francis,0.91,6940000000.0,0.0,5956.0,Eastmain-1,1.0
