 ID,PARAM,dateTime,Premiere-Chute,SYM
02JB021,1,2025/01/01,465,
02JB021,1,2025/01/02,459,
02JB021,1,2025/01/03,458,
02JB021,1,2025/01/04,466,
02JB021,1,2025/01/05,482,
02JB021,1,2025/01/06,528,
02JB021,1,2025/01/07,506,
02JB021,1,2025/01/08,502,
02JB021,1,2025/01/09,502,
02JB021,1,2025/01/10,502,
02JB021,1,2025/01/11,481,
02JB021,1,2025/01/12,483,
02JB021,1,2025/01/13,485,
02JB021,1,2025/01/14,519,
02JB021,1,2025/01/15,513,
02JB021,1,2025/01/16,517,
02JB021,1,2025/01/17,506,
02JB021,1,2025/01/18,488,
02JB021,1,2025/01/19,486,
02JB021,1,2025/01/20,479,
02JB021,1,2025/01/21,502,
02JB021,1,2025/01/22,517,
02JB021,1,2025/01/23,511,
02JB021,1,2025/01/24,495,
02JB021,1,2025/01/25,485,
02JB021,1,2025/01/26,476,
02JB021,1,2025/01/27,475,
02JB021,1,2025/01/28,467,
02JB021,1,2025/01/29,466,
02JB021,1,2025/01/30,460,
02JB021,1,2025/01/31,466,
02JB021,1,2025/02/01,509,
02JB021,1,2025/02/02,493,
02JB021,1,2025/02/03,491,
02JB021,1,2025/02/04,468,
02JB021,1,2025/02/05,470,
02JB021,1,2025/02/06,465,
02JB021,1,2025/02/07,454,
02JB021,1,2025/02/08,458,
02JB021,1,2025/02/09,438,
02JB021,1,2025/02/10,430,
02JB021,1,2025/02/11,432,
02JB021,1,2025/02/12,425,
02JB021,1,2025/02/13,419,
02JB021,1,2025/02/14,434,
02JB021,1,2025/02/15,438,
02JB021,1,2025/02/16,415,
02JB021,1,2025/02/17,415,
02JB021,1,2025/02/18,421,
02JB021,1,2025/02/19,407,
02JB021,1,2025/02/20,409,
02JB021,1,2025/02/21,429,
02JB021,1,2025/02/22,417,
02JB021,1,2025/02/23,415,
02JB021,1,2025/02/24,417,
02JB021,1,2025/02/25,406,
02JB021,1,2025/02/26,413,
02JB021,1,2025/02/27,402,
02JB021,1,2025/02/28,421,
02JB021,1,2025/03/01,452,
02JB021,1,2025/03/02,443,
02JB021,1,2025/03/03,437,
02JB021,1,2025/03/04,428,
02JB021,1,2025/03/05,422,
02JB021,1,2025/03/06,421,
02JB021,1,2025/03/07,424,
02JB021,1,2025/03/08,446,
02JB021,1,2025/03/09,450,
02JB021,1,2025/03/10,451,
02JB021,1,2025/03/11,472,
02JB021,1,2025/03/12,464,
02JB021,1,2025/03/13,466,
02JB021,1,2025/03/14,415,
02JB021,1,2025/03/15,420,
02JB021,1,2025/03/16,421,
02JB021,1,2025/03/17,411,
02JB021,1,2025/03/18,395,
02JB021,1,2025/03/19,379,
02JB021,1,2025/03/20,361,
02JB021,1,2025/03/21,346,
02JB021,1,2025/03/22,329,
02JB021,1,2025/03/23,320,
02JB021,1,2025/03/24,301,
02JB021,1,2025/03/25,294,
02JB021,1,2025/03/26,275,
02JB021,1,2025/03/27,267,
02JB021,1,2025/03/28,255,
02JB021,1,2025/03/29,245,
02JB021,1,2025/03/30,234,
02JB021,1,2025/03/31,235,
02JB021,1,2025/04/01,221,
02JB021,1,2025/04/02,222,
02JB021,1,2025/04/03,208,
02JB021,1,2025/04/04,213,
02JB021,1,2025/04/05,200,
02JB021,1,2025/04/06,205,
02JB021,1,2025/04/07,194,
02JB021,1,2025/04/08,197,
02JB021,1,2025/04/09,194,
02JB021,1,2025/04/10,193,
02JB021,1,2025/04/11,195,
02JB021,1,2025/04/12,198,
02JB021,1,2025/04/13,204,
02JB021,1,2025/04/14,194,
02JB021,1,2025/04/15,226,
02JB021,1,2025/04/16,270,
02JB021,1,2025/04/17,267,
02JB021,1,2025/04/18,289,
02JB021,1,2025/04/19,314,
02JB021,1,2025/04/20,338,
02JB021,1,2025/04/21,344,
02JB021,1,2025/04/22,359,
02JB021,1,2025/04/23,349,
02JB021,1,2025/04/24,363,
02JB021,1,2025/04/25,348,
02JB021,1,2025/04/26,339,
02JB021,1,2025/04/27,350,
02JB021,1,2025/04/28,352,
02JB021,1,2025/04/29,342,
02JB021,1,2025/04/30,328,
02JB021,1,2025/05/01,361,
02JB021,1,2025/05/02,362,
02JB021,1,2025/05/03,330,
02JB021,1,2025/05/04,328,
02JB021,1,2025/05/05,314,
02JB021,1,2025/05/06,299,
02JB021,1,2025/05/07,320,
02JB021,1,2025/05/08,318,
02JB021,1,2025/05/09,314,
02JB021,1,2025/05/10,304,
02JB021,1,2025/05/11,297,
02JB021,1,2025/05/12,287,
02JB021,1,2025/05/13,280,
02JB021,1,2025/05/14,283,
02JB021,1,2025/05/15,293,
02JB021,1,2025/05/16,301,
02JB021,1,2025/05/17,292,
02JB021,1,2025/05/18,283,
02JB021,1,2025/05/19,265,
02JB021,1,2025/05/20,321,
02JB021,1,2025/05/21,348,
02JB021,1,2025/05/22,354,
02JB021,1,2025/05/23,351,
02JB021,1,2025/05/24,359,
02JB021,1,2025/05/25,350,
02JB021,1,2025/05/26,356,
02JB021,1,2025/05/27,344,
02JB021,1,2025/05/28,332,
02JB021,1,2025/05/29,323,
02JB021,1,2025/05/30,310,
02JB021,1,2025/05/31,295,
02JB021,1,2025/06/01,297,
02JB021,1,2025/06/02,300,
02JB021,1,2025/06/03,315,
02JB021,1,2025/06/04,336,
02JB021,1,2025/06/05,346,
02JB021,1,2025/06/06,322,
02JB021,1,2025/06/07,318,
02JB021,1,2025/06/08,301,
02JB021,1,2025/06/09,301,
02JB021,1,2025/06/10,304,
02JB021,1,2025/06/11,305,
02JB021,1,2025/06/12,314,
02JB021,1,2025/06/13,303,
02JB021,1,2025/06/14,316,
02JB021,1,2025/06/15,312,
02JB021,1,2025/06/16,300,
02JB021,1,2025/06/17,323,
02JB021,1,2025/06/18,327,
02JB021,1,2025/06/19,328,
02JB021,1,2025/06/20,327,
02JB021,1,2025/06/21,331,
02JB021,1,2025/06/22,333,
02JB021,1,2025/06/23,333,
02JB021,1,2025/06/24,338,
02JB021,1,2025/06/25,348,
02JB021,1,2025/06/26,371,
02JB021,1,2025/06/27,369,
02JB021,1,2025/06/28,384,
02JB021,1,2025/06/29,439,
02JB021,1,2025/06/30,448,
02JB021,1,2025/07/01,446,
02JB021,1,2025/07/02,448,
02JB021,1,2025/07/03,448,
02JB021,1,2025/07/04,428,
02JB021,1,2025/07/05,437,
02JB021,1,2025/07/06,440,
02JB021,1,2025/07/07,498,
02JB021,1,2025/07/08,585,
02JB021,1,2025/07/09,585,
02JB021,1,2025/07/10,599,
