 ID,PARAM,Date,Laforge-2,SYM
03DC005,1,1984/07/25,89.0,
03DC005,1,1984/07/26,86.6,
03DC005,1,1984/07/27,86.2,
03DC005,1,1984/07/28,79.5,
03DC005,1,1984/07/29,76.5,
03DC005,1,1984/07/30,72.3,
03DC005,1,1984/07/31,69.3,
03DC005,1,1984/08/01,68.2,
03DC005,1,1984/08/02,60.1,
03DC005,1,1984/08/03,62.8,
03DC005,1,1984/08/04,55.9,
03DC005,1,1984/08/05,58.4,
03DC005,1,1984/08/06,62.9,
03DC005,1,1984/08/07,59.3,
03DC005,1,1984/08/08,56.5,
03DC005,1,1984/08/09,56.1,
03DC005,1,1984/08/10,52.0,
03DC005,1,1984/08/11,52.8,
03DC005,1,1984/08/12,51.1,
03DC005,1,1984/08/13,49.6,
03DC005,1,1984/08/14,50.9,
03DC005,1,1984/08/15,49.6,
03DC005,1,1984/08/16,52.6,
03DC005,1,1984/08/17,53.7,
03DC005,1,1984/08/18,53.2,
03DC005,1,1984/08/19,56.4,
03DC005,1,1984/08/20,55.2,
03DC005,1,1984/08/21,53.5,
03DC005,1,1984/08/22,54.8,
03DC005,1,1984/08/23,53.1,
03DC005,1,1984/08/24,51.7,
03DC005,1,1984/08/25,51.8,
03DC005,1,1984/08/26,51.5,
03DC005,1,1984/08/27,53.1,
03DC005,1,1984/08/28,56.8,
03DC005,1,1984/08/29,58.8,
03DC005,1,1984/08/30,56.0,
03DC005,1,1984/08/31,51.8,
03DC005,1,1984/09/01,51.6,
03DC005,1,1984/09/02,53.1,
03DC005,1,1984/09/03,52.8,
03DC005,1,1984/09/04,53.2,
03DC005,1,1984/09/05,53.1,E
03DC005,1,1984/09/06,53.0,E
03DC005,1,1984/09/07,53.2,E
03DC005,1,1984/09/08,53.3,E
03DC005,1,1984/09/09,53.5,E
03DC005,1,1984/09/10,53.6,E
03DC005,1,1984/09/11,53.7,E
03DC005,1,1984/09/12,53.9,E
03DC005,1,1984/09/13,54.0,E
03DC005,1,1984/09/14,54.4,E
03DC005,1,1984/09/15,55.0,E
03DC005,1,1984/09/16,55.7,E
03DC005,1,1984/09/17,56.6,E
03DC005,1,1984/09/18,57.2,E
03DC005,1,1984/09/19,58.5,E
03DC005,1,1984/09/20,59.7,E
03DC005,1,1984/09/21,61.0,E
03DC005,1,1984/09/22,62.6,E
03DC005,1,1984/09/23,64.0,E
03DC005,1,1984/09/24,66.0,E
03DC005,1,1984/09/25,68.2,E
03DC005,1,1984/09/26,71.0,E
03DC005,1,1984/09/27,74.0,E
03DC005,1,1984/09/28,77.0,E
03DC005,1,1984/09/29,82.0,E
03DC005,1,1984/09/30,86.0,E
03DC005,1,1984/10/01,870,E
03DC005,1,1984/10/02,890,E
03DC005,1,1984/10/03,910,E
03DC005,1,1984/10/04,945,E
03DC005,1,1984/10/05,970,E
03DC005,1,1984/10/06,1000,E
03DC005,1,1984/10/07,1020,E
03DC005,1,1984/10/08,1050,
03DC005,1,1984/10/09,1060,
03DC005,1,1984/10/10,1070,
03DC005,1,1984/10/11,1070,
03DC005,1,1984/10/12,1090,
03DC005,1,1984/10/13,1090,
03DC005,1,1984/10/14,1100,
03DC005,1,1984/10/15,1100,
03DC005,1,1984/10/16,1100,
03DC005,1,1984/10/17,1100,
03DC005,1,1984/10/18,1100,
03DC005,1,1984/10/19,1100,
03DC005,1,1984/10/20,1100,
03DC005,1,1984/10/21,1100,
03DC005,1,1984/10/22,1100,
03DC005,1,1984/10/23,1100,
03DC005,1,1984/10/24,1100,
03DC005,1,1984/10/25,1100,
03DC005,1,1984/10/26,1100,
03DC005,1,1984/10/27,1110,
03DC005,1,1984/10/28,1110,
03DC005,1,1984/10/29,1110,
03DC005,1,1984/10/30,1110,
03DC005,1,1984/10/31,1110,
03DC005,1,1984/11/01,1110,
03DC005,1,1984/11/02,1110,
03DC005,1,1984/11/03,1110,
03DC005,1,1984/11/04,1110,
03DC005,1,1984/11/05,1110,
03DC005,1,1984/11/06,1110,
03DC005,1,1984/11/07,1110,
03DC005,1,1984/11/08,1090,
