 ID,PARAM,dateTime,Beaumont,SYM
02NE003,1,2025/01/01,273,
02NE003,1,2025/01/02,377,
02NE003,1,2025/01/03,408,
02NE003,1,2025/01/04,425,
02NE003,1,2025/01/05,442,
02NE003,1,2025/01/06,433,
02NE003,1,2025/01/07,442,
02NE003,1,2025/01/08,439,
02NE003,1,2025/01/09,433,
02NE003,1,2025/01/10,433,
02NE003,1,2025/01/11,439,
02NE003,1,2025/01/12,442,
02NE003,1,2025/01/13,430,
02NE003,1,2025/01/14,445,
02NE003,1,2025/01/15,430,
02NE003,1,2025/01/16,416,
02NE003,1,2025/01/17,416,
02NE003,1,2025/01/18,425,
02NE003,1,2025/01/19,419,
02NE003,1,2025/01/20,416,
02NE003,1,2025/01/21,416,
02NE003,1,2025/01/22,416,
02NE003,1,2025/01/23,425,
02NE003,1,2025/01/24,425,
02NE003,1,2025/01/25,430,
02NE003,1,2025/01/26,425,
02NE003,1,2025/01/27,453,
02NE003,1,2025/01/28,481,
02NE003,1,2025/01/29,470,
02NE003,1,2025/01/30,470,
02NE003,1,2025/01/31,470,
02NE003,1,2025/02/01,470,
02NE003,1,2025/02/02,484,
02NE003,1,2025/02/03,496,
02NE003,1,2025/02/04,481,
02NE003,1,2025/02/05,515,
02NE003,1,2025/02/06,521,
02NE003,1,2025/02/07,510,
02NE003,1,2025/02/08,501,
02NE003,1,2025/02/09,467,
02NE003,1,2025/02/10,433,
02NE003,1,2025/02/11,487,
02NE003,1,2025/02/12,481,
02NE003,1,2025/02/13,481,
02NE003,1,2025/02/14,470,
02NE003,1,2025/02/15,320,
02NE003,1,2025/02/16,470,
02NE003,1,2025/02/17,453,
02NE003,1,2025/02/18,405,
02NE003,1,2025/02/19,408,
02NE003,1,2025/02/20,470,
02NE003,1,2025/02/21,320,
02NE003,1,2025/02/22,442,
02NE003,1,2025/02/23,481,
02NE003,1,2025/02/24,481,
02NE003,1,2025/02/25,462,
02NE003,1,2025/02/26,462,
02NE003,1,2025/02/27,442,
02NE003,1,2025/02/28,326,
02NE003,1,2025/03/01,450,
02NE003,1,2025/03/02,442,
02NE003,1,2025/03/03,433,
02NE003,1,2025/03/04,447,
02NE003,1,2025/03/05,450,
02NE003,1,2025/03/06,450,
02NE003,1,2025/03/07,294,
02NE003,1,2025/03/08,456,
02NE003,1,2025/03/09,464,
02NE003,1,2025/03/10,442,
02NE003,1,2025/03/11,439,
02NE003,1,2025/03/12,462,
02NE003,1,2025/03/13,456,
02NE003,1,2025/03/14,320,
02NE003,1,2025/03/15,450,
02NE003,1,2025/03/16,470,
02NE003,1,2025/03/17,462,
02NE003,1,2025/03/18,462,
02NE003,1,2025/03/19,481,
02NE003,1,2025/03/20,476,
02NE003,1,2025/03/21,433,
02NE003,1,2025/03/22,462,
02NE003,1,2025/03/23,450,
02NE003,1,2025/03/24,456,
02NE003,1,2025/03/25,462,
02NE003,1,2025/03/26,467,
02NE003,1,2025/03/27,450,
02NE003,1,2025/03/28,368,
02NE003,1,2025/03/29,445,
02NE003,1,2025/03/30,447,
02NE003,1,2025/03/31,445,
02NE003,1,2025/04/01,470,
02NE003,1,2025/04/02,496,
02NE003,1,2025/04/03,524,
02NE003,1,2025/04/04,544,
02NE003,1,2025/04/05,549,
02NE003,1,2025/04/06,555,
02NE003,1,2025/04/07,552,
02NE003,1,2025/04/08,453,
02NE003,1,2025/04/09,453,
02NE003,1,2025/04/10,388,
02NE003,1,2025/04/11,422,
02NE003,1,2025/04/12,436,
02NE003,1,2025/04/13,388,
02NE003,1,2025/04/14,379,
02NE003,1,2025/04/15,416,
