 ID,PARAM,Date,Les Cedres,SYM
02MC018,1,2025/01/01,415,
02MC018,1,2025/01/02,367,
02MC018,1,2025/01/03,362,
02MC018,1,2025/01/04,363,
02MC018,1,2025/01/05,362,
02MC018,1,2025/01/06,332,
02MC018,1,2025/01/07,283,
02MC018,1,2025/01/08,298,
02MC018,1,2025/01/09,295,
02MC018,1,2025/01/10,373,
02MC018,1,2025/01/11,418,
02MC018,1,2025/01/12,572,
02MC018,1,2025/01/13,555,
02MC018,1,2025/01/14,549,
02MC018,1,2025/01/15,549,
02MC018,1,2025/01/16,539,
02MC018,1,2025/01/17,411,
02MC018,1,2025/01/18,341,
02MC018,1,2025/01/19,490,
02MC018,1,2025/01/20,755,
02MC018,1,2025/01/21,666,
02MC018,1,2025/01/22,239,
02MC018,1,2025/01/23,238,
02MC018,1,2025/01/24,300,
02MC018,1,2025/01/25,268,
02MC018,1,2025/01/26,414,
02MC018,1,2025/01/27,308,
02MC018,1,2025/01/28,340,
02MC018,1,2025/01/29,354,
02MC018,1,2025/01/30,256,
02MC018,1,2025/01/31,261,
02MC018,1,2025/02/01,259,
02MC018,1,2025/02/02,304,
02MC018,1,2025/02/03,316,
02MC018,1,2025/02/04,307,
02MC018,1,2025/02/05,304,
02MC018,1,2025/02/06,275,
02MC018,1,2025/02/07,276,
02MC018,1,2025/02/08,239,
02MC018,1,2025/02/09,234,
02MC018,1,2025/02/10,226,
02MC018,1,2025/02/11,232,
02MC018,1,2025/02/12,254,
02MC018,1,2025/02/13,355,
02MC018,1,2025/02/14,261,
02MC018,1,2025/02/15,351,
02MC018,1,2025/02/16,481,
02MC018,1,2025/02/17,443,
02MC018,1,2025/02/18,389,
02MC018,1,2025/02/19,312,
02MC018,1,2025/02/20,301,
02MC018,1,2025/02/21,500,
02MC018,1,2025/02/22,566,
02MC018,1,2025/02/23,478,
02MC018,1,2025/02/24,762,
02MC018,1,2025/02/25,824,
02MC018,1,2025/02/26,521,
02MC018,1,2025/02/27,364,
02MC018,1,2025/02/28,473,
02MC018,1,2025/03/01,443,
02MC018,1,2025/03/02,440,
02MC018,1,2025/03/03,444,
02MC018,1,2025/03/04,659,
02MC018,1,2025/03/05,443,
02MC018,1,2025/03/06,412,
02MC018,1,2025/03/07,352,
02MC018,1,2025/03/08,303,
02MC018,1,2025/03/09,302,
02MC018,1,2025/03/10,387,
02MC018,1,2025/03/11,397,
02MC018,1,2025/03/12,285,
02MC018,1,2025/03/13,319,
02MC018,1,2025/03/14,475,
02MC018,1,2025/03/15,657,
02MC018,1,2025/03/16,479,
02MC018,1,2025/03/17,371,
02MC018,1,2025/03/18,450,
02MC018,1,2025/03/19,584,
02MC018,1,2025/03/20,289,
02MC018,1,2025/03/21,455,
02MC018,1,2025/03/22,653,
02MC018,1,2025/03/23,475,
02MC018,1,2025/03/24,688,
02MC018,1,2025/03/25,826,
02MC018,1,2025/03/26,600,
02MC018,1,2025/03/27,686,
02MC018,1,2025/03/28,757,
02MC018,1,2025/03/29,752,
02MC018,1,2025/03/30,588,
02MC018,1,2025/03/31,700,
02MC018,1,2025/04/01,761,
02MC018,1,2025/04/02,767,
02MC018,1,2025/04/03,776,
02MC018,1,2025/04/04,857,
02MC018,1,2025/04/05,1030,
02MC018,1,2025/04/06,956,
02MC018,1,2025/04/07,832,
02MC018,1,2025/04/08,834,
02MC018,1,2025/04/09,796,
02MC018,1,2025/04/10,865,
02MC018,1,2025/04/11,1250,
02MC018,1,2025/04/12,1180,
02MC018,1,2025/04/13,744,
02MC018,1,2025/04/14,967,
02MC018,1,2025/04/15,943,
02MC018,1,2025/04/16,751,
02MC018,1,2025/04/17,602,
02MC018,1,2025/04/18,320,
02MC018,1,2025/04/19,333,
02MC018,1,2025/04/20,557,
02MC018,1,2025/04/21,925,
02MC018,1,2025/04/22,1020,
02MC018,1,2025/04/23,1100,
02MC018,1,2025/04/24,1070,
02MC018,1,2025/04/25,874,
02MC018,1,2025/04/26,943,
02MC018,1,2025/04/27,1300,
02MC018,1,2025/04/28,1420,
02MC018,1,2025/04/29,1150,
02MC018,1,2025/04/30,794,
02MC018,1,2025/05/01,460,
02MC018,1,2025/05/02,538,
02MC018,1,2025/05/03,510,
02MC018,1,2025/05/04,505,
02MC018,1,2025/05/05,465,
02MC018,1,2025/05/06,507,
02MC018,1,2025/05/07,468,
02MC018,1,2025/05/08,460,
02MC018,1,2025/05/09,522,
02MC018,1,2025/05/10,466,
02MC018,1,2025/05/11,568,
02MC018,1,2025/05/12,528,
02MC018,1,2025/05/13,449,
02MC018,1,2025/05/14,450,
02MC018,1,2025/05/15,447,
02MC018,1,2025/05/16,601,
02MC018,1,2025/05/17,675,
02MC018,1,2025/05/18,453,
02MC018,1,2025/05/19,459,
02MC018,1,2025/05/20,536,
02MC018,1,2025/05/21,411,
02MC018,1,2025/05/22,397,
02MC018,1,2025/05/23,411,
02MC018,1,2025/05/24,408,
02MC018,1,2025/05/25,408,
02MC018,1,2025/05/26,500,
02MC018,1,2025/05/27,1070,
02MC018,1,2025/05/28,864,
02MC018,1,2025/05/29,563,
02MC018,1,2025/05/30,660,
02MC018,1,2025/05/31,654,
02MC018,1,2025/06/01,421,
02MC018,1,2025/06/02,409,
02MC018,1,2025/06/03,484,
02MC018,1,2025/06/04,423,
02MC018,1,2025/06/05,422,
02MC018,1,2025/06/06,416,
02MC018,1,2025/06/07,433,
02MC018,1,2025/06/08,439,
02MC018,1,2025/06/09,496,
02MC018,1,2025/06/10,476,
02MC018,1,2025/06/11,403,
02MC018,1,2025/06/12,414,
02MC018,1,2025/06/13,417,
02MC018,1,2025/06/14,435,
02MC018,1,2025/06/15,434,
02MC018,1,2025/06/16,436,
02MC018,1,2025/06/17,416,
02MC018,1,2025/06/18,417,
02MC018,1,2025/06/19,410,
02MC018,1,2025/06/20,418,
02MC018,1,2025/06/21,422,
02MC018,1,2025/06/22,415,
02MC018,1,2025/06/23,408,
02MC018,1,2025/06/24,411,
02MC018,1,2025/06/25,407,
02MC018,1,2025/06/26,421,
02MC018,1,2025/06/27,424,
02MC018,1,2025/06/28,424,
02MC018,1,2025/06/29,421,
02MC018,1,2025/06/30,437,
02MC018,1,2025/07/01,435,
02MC018,1,2025/07/02,431,
02MC018,1,2025/07/03,416,
02MC018,1,2025/07/04,417,
02MC018,1,2025/07/05,421,
02MC018,1,2025/07/06,417,
02MC018,1,2025/07/07,546,
02MC018,1,2025/07/08,419,
02MC018,1,2025/07/09,458,
02MC018,1,2025/07/10,411,
02MC018,1,2025/07/11,411,
02MC018,1,2025/07/12,415,
02MC018,1,2025/07/13,417,
02MC018,1,2025/07/14,422,
02MC018,1,2025/07/15,418,
02MC018,1,2025/07/16,415,
02MC018,1,2025/07/17,419,
02MC018,1,2025/07/18,349,
02MC018,1,2025/07/19,303,
02MC018,1,2025/07/20,297,
02MC018,1,2025/07/21,373,
02MC018,1,2025/07/22,378,
02MC018,1,2025/07/23,307,
02MC018,1,2025/07/24,277,
02MC018,1,2025/07/25,284,
02MC018,1,2025/07/26,299,
02MC018,1,2025/07/27,292,
02MC018,1,2025/07/28,291,
02MC018,1,2025/07/29,277,
02MC018,1,2025/07/30,296,
02MC018,1,2025/07/31,287,
02MC018,1,2025/08/01,357,
02MC018,1,2025/08/02,826,
02MC018,1,2025/08/03,877,
02MC018,1,2025/08/04,920,
02MC018,1,2025/08/05,798,
02MC018,1,2025/08/06,305,
02MC018,1,2025/08/07,297,
02MC018,1,2025/08/08,451,
02MC018,1,2025/08/09,409,
02MC018,1,2025/08/10,301,
02MC018,1,2025/08/11,278,
02MC018,1,2025/08/12,303,
02MC018,1,2025/08/13,346,
02MC018,1,2025/08/14,290,
02MC018,1,2025/08/15,278,
02MC018,1,2025/08/16,358,
02MC018,1,2025/08/17,471,
02MC018,1,2025/08/18,287,
02MC018,1,2025/08/19,285,
02MC018,1,2025/08/20,283,
02MC018,1,2025/08/21,284,
02MC018,1,2025/08/22,282,
02MC018,1,2025/08/23,392,
02MC018,1,2025/08/24,547,
02MC018,1,2025/08/25,372,
02MC018,1,2025/08/26,458,
02MC018,1,2025/08/27,374,
02MC018,1,2025/08/28,362,
02MC018,1,2025/08/29,391,
02MC018,1,2025/08/30,334,
02MC018,1,2025/08/31,410,
02MC018,1,2025/09/01,540,
02MC018,1,2025/09/02,362,
02MC018,1,2025/09/03,491,
