 ID,PARAM,Date,Chute-des-Chats,SYM
02KF009,1,2025/01/01,995,
02KF009,1,2025/01/02,957,
02KF009,1,2025/01/03,979,
02KF009,1,2025/01/04,940,
02KF009,1,2025/01/05,993,
02KF009,1,2025/01/06,1000,
02KF009,1,2025/01/07,1190,
02KF009,1,2025/01/08,903,
02KF009,1,2025/01/09,989,
02KF009,1,2025/01/10,1060,
02KF009,1,2025/01/11,897,
02KF009,1,2025/01/12,817,
02KF009,1,2025/01/13,920,
02KF009,1,2025/01/14,1030,
02KF009,1,2025/01/15,1130,
02KF009,1,2025/01/16,1260,
02KF009,1,2025/01/17,848,
02KF009,1,2025/01/18,959,
02KF009,1,2025/01/19,971,
02KF009,1,2025/01/20,994,
02KF009,1,2025/01/21,1020,
02KF009,1,2025/01/22,838,
02KF009,1,2025/01/23,916,
02KF009,1,2025/01/24,856,
02KF009,1,2025/01/25,1080,
02KF009,1,2025/01/26,1250,
02KF009,1,2025/01/27,1220,
02KF009,1,2025/01/28,1210,
02KF009,1,2025/01/29,969,
02KF009,1,2025/01/30,1120,
02KF009,1,2025/01/31,1200,
02KF009,1,2025/02/01,1220,
02KF009,1,2025/02/02,1220,
02KF009,1,2025/02/03,1230,
02KF009,1,2025/02/04,1150,
02KF009,1,2025/02/05,1000,
02KF009,1,2025/02/06,1050,
02KF009,1,2025/02/07,1130,
02KF009,1,2025/02/08,1080,
02KF009,1,2025/02/09,1210,
02KF009,1,2025/02/10,1120,
02KF009,1,2025/02/11,1200,
02KF009,1,2025/02/12,1190,
02KF009,1,2025/02/13,1140,
02KF009,1,2025/02/14,1140,
02KF009,1,2025/02/15,1150,
02KF009,1,2025/02/16,1120,
02KF009,1,2025/02/17,1140,
02KF009,1,2025/02/18,1150,
02KF009,1,2025/02/19,1190,
02KF009,1,2025/02/20,1080,
02KF009,1,2025/02/21,1310,
02KF009,1,2025/02/22,1270,
02KF009,1,2025/02/23,1240,
02KF009,1,2025/02/24,1230,
02KF009,1,2025/02/25,1220,
02KF009,1,2025/02/26,1270,
02KF009,1,2025/02/27,1340,
02KF009,1,2025/02/28,1440,
02KF009,1,2025/03/01,1440,
02KF009,1,2025/03/02,1410,
02KF009,1,2025/03/03,1430,
02KF009,1,2025/03/04,1380,
02KF009,1,2025/03/05,1210,
02KF009,1,2025/03/06,1210,
02KF009,1,2025/03/07,1230,
02KF009,1,2025/03/08,1150,
02KF009,1,2025/03/09,1090,
02KF009,1,2025/03/10,1190,
02KF009,1,2025/03/11,1280,
02KF009,1,2025/03/12,1090,
02KF009,1,2025/03/13,973,
02KF009,1,2025/03/14,1060,
02KF009,1,2025/03/15,997,
02KF009,1,2025/03/16,1030,
02KF009,1,2025/03/17,913,
02KF009,1,2025/03/18,1040,
02KF009,1,2025/03/19,744,
02KF009,1,2025/03/20,817,
02KF009,1,2025/03/21,969,
02KF009,1,2025/03/22,905,
02KF009,1,2025/03/23,884,
02KF009,1,2025/03/24,1030,
02KF009,1,2025/03/25,998,
02KF009,1,2025/03/26,968,
02KF009,1,2025/03/27,938,
02KF009,1,2025/03/28,916,
02KF009,1,2025/03/29,649,
02KF009,1,2025/03/30,867,
02KF009,1,2025/03/31,915,
02KF009,1,2025/04/01,850,
02KF009,1,2025/04/02,792,
02KF009,1,2025/04/03,667,
02KF009,1,2025/04/04,775,
02KF009,1,2025/04/05,905,
02KF009,1,2025/04/06,863,
02KF009,1,2025/04/07,911,
02KF009,1,2025/04/08,656,
02KF009,1,2025/04/09,805,
02KF009,1,2025/04/10,819,
02KF009,1,2025/04/11,900,
02KF009,1,2025/04/12,921,
02KF009,1,2025/04/13,1100,
02KF009,1,2025/04/14,1080,
02KF009,1,2025/04/15,1130,
02KF009,1,2025/04/16,1690,
02KF009,1,2025/04/17,1460,
02KF009,1,2025/04/18,1710,
02KF009,1,2025/04/19,2000,
02KF009,1,2025/04/20,2020,
02KF009,1,2025/04/21,2000,
02KF009,1,2025/04/22,1880,
02KF009,1,2025/04/23,1690,
02KF009,1,2025/04/24,1580,
02KF009,1,2025/04/25,1480,
02KF009,1,2025/04/26,1060,
02KF009,1,2025/04/27,1220,
02KF009,1,2025/04/28,1400,
02KF009,1,2025/04/29,1400,
02KF009,1,2025/04/30,1400,
02KF009,1,2025/05/01,1140,
02KF009,1,2025/05/02,1290,
02KF009,1,2025/05/03,1300,
02KF009,1,2025/05/04,1230,
02KF009,1,2025/05/05,1310,
02KF009,1,2025/05/06,1280,
02KF009,1,2025/05/07,1370,
02KF009,1,2025/05/08,1260,
02KF009,1,2025/05/09,1310,
02KF009,1,2025/05/10,1140,
02KF009,1,2025/05/11,1220,
02KF009,1,2025/05/12,1020,
02KF009,1,2025/05/13,1200,
02KF009,1,2025/05/14,1020,
02KF009,1,2025/05/15,1050,
02KF009,1,2025/05/16,1130,
02KF009,1,2025/05/17,1270,
02KF009,1,2025/05/18,1310,
02KF009,1,2025/05/19,1300,
02KF009,1,2025/05/20,1470,
02KF009,1,2025/05/21,1620,
02KF009,1,2025/05/22,1650,
02KF009,1,2025/05/23,1700,
02KF009,1,2025/05/24,1640,
02KF009,1,2025/05/25,1510,
02KF009,1,2025/05/26,1660,
02KF009,1,2025/05/27,1720,
02KF009,1,2025/05/28,1540,
02KF009,1,2025/05/29,1630,
02KF009,1,2025/05/30,1580,
02KF009,1,2025/05/31,1510,
02KF009,1,2025/06/01,1450,
02KF009,1,2025/06/02,1470,
02KF009,1,2025/06/03,1620,
02KF009,1,2025/06/04,1370,
02KF009,1,2025/06/05,1240,
02KF009,1,2025/06/06,1460,
02KF009,1,2025/06/07,1310,
02KF009,1,2025/06/08,1040,
02KF009,1,2025/06/09,1420,
02KF009,1,2025/06/10,1190,
02KF009,1,2025/06/11,1110,
02KF009,1,2025/06/12,942,
02KF009,1,2025/06/13,797,
02KF009,1,2025/06/14,886,
02KF009,1,2025/06/15,1020,
02KF009,1,2025/06/16,1020,
02KF009,1,2025/06/17,1380,
02KF009,1,2025/06/18,1230,
02KF009,1,2025/06/19,1230,
02KF009,1,2025/06/20,1230,
02KF009,1,2025/06/21,1220,
02KF009,1,2025/06/22,1190,
02KF009,1,2025/06/23,990,
02KF009,1,2025/06/24,984,
02KF009,1,2025/06/25,1040,
02KF009,1,2025/06/26,1030,
02KF009,1,2025/06/27,792,
02KF009,1,2025/06/28,986,
02KF009,1,2025/06/29,1270,
02KF009,1,2025/06/30,1320,
02KF009,1,2025/07/01,1250,
02KF009,1,2025/07/02,1210,
02KF009,1,2025/07/03,1250,
02KF009,1,2025/07/04,1090,
02KF009,1,2025/07/05,1190,
02KF009,1,2025/07/06,1250,
02KF009,1,2025/07/07,1220,
02KF009,1,2025/07/08,1310,
02KF009,1,2025/07/09,1370,
02KF009,1,2025/07/10,1390,
02KF009,1,2025/07/11,1580,
02KF009,1,2025/07/12,1540,
02KF009,1,2025/07/13,1500,
02KF009,1,2025/07/14,1640,
02KF009,1,2025/07/15,1450,
02KF009,1,2025/07/16,1240,
02KF009,1,2025/07/17,1160,
02KF009,1,2025/07/18,1200,
02KF009,1,2025/07/19,1200,
02KF009,1,2025/07/20,1130,
02KF009,1,2025/07/21,1020,
02KF009,1,2025/07/22,920,
02KF009,1,2025/07/23,961,
02KF009,1,2025/07/24,936,
02KF009,1,2025/07/25,1040,
02KF009,1,2025/07/26,1050,
02KF009,1,2025/07/27,1040,
02KF009,1,2025/07/28,1100,
02KF009,1,2025/07/29,1360,
02KF009,1,2025/07/30,979,
02KF009,1,2025/07/31,1150,
02KF009,1,2025/08/01,1090,
02KF009,1,2025/08/02,986,
02KF009,1,2025/08/03,1200,
02KF009,1,2025/08/04,946,
02KF009,1,2025/08/05,1350,
02KF009,1,2025/08/06,1310,
02KF009,1,2025/08/07,1050,
02KF009,1,2025/08/08,999,
02KF009,1,2025/08/09,932,
02KF009,1,2025/08/10,1070,
02KF009,1,2025/08/11,961,
02KF009,1,2025/08/12,924,
02KF009,1,2025/08/13,1050,
02KF009,1,2025/08/14,1210,
