 ID,PARAM,Date,Rocher-de-Grand-Mere,SYM
02NG001,1,2025/01/01,550,
02NG001,1,2025/01/02,553,
02NG001,1,2025/01/03,620,
02NG001,1,2025/01/04,652,
02NG001,1,2025/01/05,602,
02NG001,1,2025/01/06,647,
02NG001,1,2025/01/07,617,
02NG001,1,2025/01/08,613,
02NG001,1,2025/01/09,652,
02NG001,1,2025/01/10,638,
02NG001,1,2025/01/11,623,
02NG001,1,2025/01/12,630,
02NG001,1,2025/01/13,658,
02NG001,1,2025/01/14,678,
02NG001,1,2025/01/15,652,
02NG001,1,2025/01/16,659,
02NG001,1,2025/01/17,676,
02NG001,1,2025/01/18,694,
02NG001,1,2025/01/19,676,
02NG001,1,2025/01/20,686,
02NG001,1,2025/01/21,697,
02NG001,1,2025/01/22,717,
02NG001,1,2025/01/23,672,
02NG001,1,2025/01/24,671,
02NG001,1,2025/01/25,697,
02NG001,1,2025/01/26,683,
02NG001,1,2025/01/27,675,
02NG001,1,2025/01/28,681,
02NG001,1,2025/01/29,700,
02NG001,1,2025/01/30,694,
02NG001,1,2025/01/31,708,
02NG001,1,2025/02/01,722,
02NG001,1,2025/02/02,732,
02NG001,1,2025/02/03,733,
02NG001,1,2025/02/04,732,
02NG001,1,2025/02/05,731,
02NG001,1,2025/02/06,734,
02NG001,1,2025/02/07,734,
02NG001,1,2025/02/08,733,
02NG001,1,2025/02/09,737,
02NG001,1,2025/02/10,729,
02NG001,1,2025/02/11,734,
02NG001,1,2025/02/12,724,
02NG001,1,2025/02/13,738,
02NG001,1,2025/02/14,739,
02NG001,1,2025/02/15,738,
02NG001,1,2025/02/16,740,
02NG001,1,2025/02/17,727,
02NG001,1,2025/02/18,742,
02NG001,1,2025/02/19,726,
02NG001,1,2025/02/20,732,
02NG001,1,2025/02/21,714,
02NG001,1,2025/02/22,700,
02NG001,1,2025/02/23,700,
02NG001,1,2025/02/24,677,
02NG001,1,2025/02/25,663,
02NG001,1,2025/02/26,665,
02NG001,1,2025/02/27,644,
02NG001,1,2025/02/28,653,
02NG001,1,2025/03/01,653,
02NG001,1,2025/03/02,652,
02NG001,1,2025/03/03,605,
02NG001,1,2025/03/04,557,
02NG001,1,2025/03/05,605,
02NG001,1,2025/03/06,644,
02NG001,1,2025/03/07,649,
02NG001,1,2025/03/08,650,
02NG001,1,2025/03/09,643,
02NG001,1,2025/03/10,644,
02NG001,1,2025/03/11,636,
02NG001,1,2025/03/12,636,
02NG001,1,2025/03/13,639,
02NG001,1,2025/03/14,613,
02NG001,1,2025/03/15,558,
02NG001,1,2025/03/16,584,
02NG001,1,2025/03/17,600,
02NG001,1,2025/03/18,606,
02NG001,1,2025/03/19,562,
02NG001,1,2025/03/20,580,
02NG001,1,2025/03/21,580,
02NG001,1,2025/03/22,575,
02NG001,1,2025/03/23,533,
02NG001,1,2025/03/24,507,
02NG001,1,2025/03/25,569,
02NG001,1,2025/03/26,591,
02NG001,1,2025/03/27,562,
02NG001,1,2025/03/28,510,
02NG001,1,2025/03/29,488,
02NG001,1,2025/03/30,506,
02NG001,1,2025/03/31,548,
02NG001,1,2025/04/01,516,
02NG001,1,2025/04/02,525,
02NG001,1,2025/04/03,478,
02NG001,1,2025/04/04,504,
02NG001,1,2025/04/05,512,
02NG001,1,2025/04/06,526,
02NG001,1,2025/04/07,478,
02NG001,1,2025/04/08,478,
02NG001,1,2025/04/09,487,
02NG001,1,2025/04/10,486,
02NG001,1,2025/04/11,509,
02NG001,1,2025/04/12,537,
02NG001,1,2025/04/13,559,
02NG001,1,2025/04/14,543,
02NG001,1,2025/04/15,590,
02NG001,1,2025/04/16,707,
02NG001,1,2025/04/17,758,
02NG001,1,2025/04/18,769,
02NG001,1,2025/04/19,764,
02NG001,1,2025/04/20,769,
02NG001,1,2025/04/21,897,
02NG001,1,2025/04/22,923,
02NG001,1,2025/04/23,832,
02NG001,1,2025/04/24,764,
02NG001,1,2025/04/25,764,
02NG001,1,2025/04/26,762,
02NG001,1,2025/04/27,747,
02NG001,1,2025/04/28,802,
02NG001,1,2025/04/29,878,
02NG001,1,2025/04/30,863,
02NG001,1,2025/05/01,867,
02NG001,1,2025/05/02,1060,
02NG001,1,2025/05/03,1010,
02NG001,1,2025/05/04,1010,
02NG001,1,2025/05/05,1050,
02NG001,1,2025/05/06,1360,
02NG001,1,2025/05/07,1440,
02NG001,1,2025/05/08,1660,
02NG001,1,2025/05/09,1690,
02NG001,1,2025/05/10,1910,
02NG001,1,2025/05/11,2120,
02NG001,1,2025/05/12,2120,
02NG001,1,2025/05/13,2050,
02NG001,1,2025/05/14,2200,
02NG001,1,2025/05/15,2110,
02NG001,1,2025/05/16,1710,
02NG001,1,2025/05/17,1520,
02NG001,1,2025/05/18,1320,
02NG001,1,2025/05/19,1200,
