 ID,PARAM,dateTime,Shawinigan-3,SYM
02NG006,1,2025/01/01,252,
02NG006,1,2025/01/02,402,
02NG006,1,2025/01/03,394,
02NG006,1,2025/01/04,428,
02NG006,1,2025/01/05,510,
02NG006,1,2025/01/06,286,
02NG006,1,2025/01/07,408,
02NG006,1,2025/01/08,394,
02NG006,1,2025/01/09,530,
02NG006,1,2025/01/10,481,
02NG006,1,2025/01/11,456,
02NG006,1,2025/01/12,498,
02NG006,1,2025/01/13,354,
02NG006,1,2025/01/14,402,
02NG006,1,2025/01/15,447,
02NG006,1,2025/01/16,493,
02NG006,1,2025/01/17,524,
02NG006,1,2025/01/18,490,
02NG006,1,2025/01/19,476,
02NG006,1,2025/01/20,343,
02NG006,1,2025/01/21,433,
02NG006,1,2025/01/22,445,
02NG006,1,2025/01/23,487,
02NG006,1,2025/01/24,501,
02NG006,1,2025/01/25,535,
02NG006,1,2025/01/26,521,
02NG006,1,2025/01/27,394,
02NG006,1,2025/01/28,394,
02NG006,1,2025/01/29,391,
02NG006,1,2025/01/30,490,
02NG006,1,2025/01/31,459,
02NG006,1,2025/02/01,473,
02NG006,1,2025/02/02,459,
02NG006,1,2025/02/03,351,
02NG006,1,2025/02/04,405,
02NG006,1,2025/02/05,433,
02NG006,1,2025/02/06,490,
02NG006,1,2025/02/07,479,
02NG006,1,2025/02/08,464,
02NG006,1,2025/02/09,510,
02NG006,1,2025/02/10,365,
02NG006,1,2025/02/11,360,
02NG006,1,2025/02/12,425,
02NG006,1,2025/02/13,447,
02NG006,1,2025/02/14,462,
02NG006,1,2025/02/15,467,
02NG006,1,2025/02/16,459,
02NG006,1,2025/02/17,357,
02NG006,1,2025/02/18,399,
02NG006,1,2025/02/19,445,
02NG006,1,2025/02/20,456,
02NG006,1,2025/02/21,456,
02NG006,1,2025/02/22,456,
02NG006,1,2025/02/23,493,
02NG006,1,2025/02/24,388,
02NG006,1,2025/02/25,396,
02NG006,1,2025/02/26,428,
02NG006,1,2025/02/27,513,
02NG006,1,2025/02/28,507,
02NG006,1,2025/03/01,487,
02NG006,1,2025/03/02,498,
02NG006,1,2025/03/03,408,
02NG006,1,2025/03/04,419,
02NG006,1,2025/03/05,439,
02NG006,1,2025/03/06,496,
02NG006,1,2025/03/07,487,
02NG006,1,2025/03/08,456,
02NG006,1,2025/03/09,481,
02NG006,1,2025/03/10,360,
02NG006,1,2025/03/11,430,
02NG006,1,2025/03/12,462,
02NG006,1,2025/03/13,515,
