 ID,PARAM,dateTime,Sarcelle,SYM
03DC005,1,2025/07/30,72.3,
03DC005,1,2025/07/31,69.3,
03DC005,1,2025/08/01,68.2,
03DC005,1,2025/08/02,60.1,
03DC005,1,2025/08/03,62.8,
03DC005,1,2025/08/04,55.9,
03DC005,1,2025/08/05,58.4,
03DC005,1,2025/08/06,62.9,
03DC005,1,2025/08/07,59.3,
03DC005,1,2025/08/08,56.5,
03DC005,1,2025/08/09,56.1,
03DC005,1,2025/08/10,52.0,
03DC005,1,2025/08/11,52.8,
03DC005,1,2025/08/12,51.1,
03DC005,1,2025/08/13,49.6,
03DC005,1,2025/08/14,50.9,
03DC005,1,2025/08/15,49.6,
03DC005,1,2025/08/16,52.6,
03DC005,1,2025/08/17,53.7,
03DC005,1,2025/08/18,53.2,
03DC005,1,2025/08/19,56.4,
03DC005,1,2025/08/20,55.2,
03DC005,1,2025/08/21,53.5,
03DC005,1,2025/08/22,54.8,
03DC005,1,2025/08/23,53.1,
03DC005,1,2025/08/24,51.7,
03DC005,1,2025/08/25,51.8,
03DC005,1,2025/08/26,51.5,
03DC005,1,2025/08/27,53.1,
03DC005,1,2025/08/28,56.8,
03DC005,1,2025/08/29,58.8,
03DC005,1,2025/08/30,56.0,
03DC005,1,2025/08/31,51.8,
03DC005,1,2025/09/01,51.6,
03DC005,1,2025/09/02,53.1,
03DC005,1,2025/09/03,52.8,
03DC005,1,2025/09/04,53.2,
03DC005,1,2025/09/05,53.1,E
03DC005,1,2025/09/06,53.0,E
03DC005,1,2025/09/07,53.2,E
03DC005,1,2025/09/08,53.3,E
03DC005,1,2025/09/09,53.5,E
03DC005,1,2025/09/10,53.6,E
03DC005,1,2025/09/11,53.7,E
03DC005,1,2025/09/12,53.9,E
03DC005,1,2025/09/13,54.0,E
03DC005,1,2025/09/14,54.4,E
03DC005,1,2025/09/15,55.0,E
03DC005,1,2025/09/16,55.7,E
03DC005,1,2025/09/17,56.6,E
03DC005,1,2025/09/18,57.2,E
03DC005,1,2025/09/19,58.5,E
03DC005,1,2025/09/20,59.7,E
03DC005,1,2025/09/21,61.0,E
03DC005,1,2025/09/22,62.6,E
03DC005,1,2025/09/23,64.0,E
03DC005,1,2025/09/24,66.0,E
03DC005,1,2025/09/25,68.2,E
03DC005,1,2025/09/26,71.0,E
03DC005,1,2025/09/27,74.0,E
03DC005,1,2025/09/28,77.0,E
03DC005,1,2025/09/29,82.0,E
03DC005,1,2025/09/30,86.0,E
03DC005,1,2025/10/01,870,E
03DC005,1,2025/10/02,890,E
03DC005,1,2025/10/03,910,E
03DC005,1,2025/10/04,945,E
03DC005,1,2025/10/05,970,E
03DC005,1,2025/10/06,1000,E
03DC005,1,2025/10/07,1020,E
03DC005,1,2025/10/08,1050,
03DC005,1,2025/10/09,1060,
03DC005,1,2025/10/10,1070,
03DC005,1,2025/10/11,1070,
03DC005,1,2025/10/12,1090,
03DC005,1,2025/10/13,1090,
03DC005,1,2025/10/14,1100,
03DC005,1,2025/10/15,1100,
03DC005,1,2025/10/16,1100,
03DC005,1,2025/10/17,1100,
03DC005,1,2025/10/18,1100,
03DC005,1,2025/10/19,1100,
03DC005,1,2025/10/20,1100,
03DC005,1,2025/10/21,1100,
03DC005,1,2025/10/22,1100,
03DC005,1,2025/10/23,1100,
03DC005,1,2025/10/24,1100,
03DC005,1,2025/10/25,1100,
03DC005,1,2025/10/26,1100,
03DC005,1,2025/10/27,1110,
03DC005,1,2025/10/28,1110,
03DC005,1,2025/10/29,1110,
03DC005,1,2025/10/30,1110,
03DC005,1,2025/10/31,1110,
03DC005,1,2025/11/01,1110,
03DC005,1,2025/11/02,1110,
03DC005,1,2025/11/03,1110,
03DC005,1,2025/11/04,1110,
03DC005,1,2025/11/05,1110,
03DC005,1,2025/11/06,1110,
03DC005,1,2025/11/07,1110,
03DC005,1,2025/11/08,1090,
03DC005,1,2025/11/09,1080,
03DC005,1,2025/11/10,1090,
03DC005,1,2025/11/11,1090,
03DC005,1,2025/11/12,1080,
03DC005,1,2025/11/13,1070,
03DC005,1,2025/11/14,1020,
03DC005,1,2025/11/15,971,
03DC005,1,2025/11/16,924,
03DC005,1,2025/11/17,885,
03DC005,1,2025/11/18,859,
03DC005,1,2025/11/19,839,
03DC005,1,2025/11/20,823,
03DC005,1,2025/11/21,807,
03DC005,1,2025/11/22,794,
03DC005,1,2025/11/23,783,
03DC005,1,2025/11/24,773,
03DC005,1,2025/11/25,765,
03DC005,1,2025/11/26,763,
03DC005,1,2025/11/27,762,
03DC005,1,2025/11/28,763,
03DC005,1,2025/11/29,760,
03DC005,1,2025/11/30,753,
03DC005,1,2025/12/01,744,
03DC005,1,2025/12/02,736,
03DC005,1,2025/12/03,733,
03DC005,1,2025/12/04,727,
03DC005,1,2025/12/05,716,
03DC005,1,2025/12/06,715,E
03DC005,1,2025/12/07,705,E
03DC005,1,2025/12/08,700,E
03DC005,1,2025/12/09,700,E
03DC005,1,2025/12/10,700,E
03DC005,1,2025/12/11,700,E
03DC005,1,2025/12/12,700,E
03DC005,1,2025/12/13,700,E
03DC005,1,2025/12/14,700,E
03DC005,1,2025/12/15,695,E
03DC005,1,2025/12/16,692,E
03DC005,1,2025/12/17,690,E
03DC005,1,2025/12/18,687,E
03DC005,1,2025/12/19,684,E
03DC005,1,2025/12/20,680,E
03DC005,1,2025/12/21,680,E
03DC005,1,2025/12/22,680,E
03DC005,1,2025/12/23,680,E
03DC005,1,2025/12/24,680,E
03DC005,1,2025/12/25,680,E
03DC005,1,2025/12/26,680,E
03DC005,1,2025/12/27,680,E
03DC005,1,2025/12/28,680,E
03DC005,1,2025/12/29,681,E
03DC005,1,2025/12/30,684,E
03DC005,1,2025/12/31,688,E
03DC005,1,2026/01/01,688,E
