ID,PARAM,dateTime,Outardes-3,SYM
02TE003,1,2025/01/01,481,
02TE003,1,2025/01/02,482,
02TE003,1,2025/01/03,513,
02TE003,1,2025/01/04,492,
02TE003,1,2025/01/05,513,
02TE003,1,2025/01/06,508,
02TE003,1,2025/01/07,513,
02TE003,1,2025/01/08,512,
02TE003,1,2025/01/09,497,
02TE003,1,2025/01/10,481,
02TE003,1,2025/01/11,479,
02TE003,1,2025/01/12,506,
02TE003,1,2025/01/13,475,
02TE003,1,2025/01/14,482,
02TE003,1,2025/01/15,463,
02TE003,1,2025/01/16,502,
02TE003,1,2025/01/17,502,
02TE003,1,2025/01/18,498,
02TE003,1,2025/01/19,505,
02TE003,1,2025/01/20,515,
02TE003,1,2025/01/21,506,
02TE003,1,2025/01/22,479,
02TE003,1,2025/01/23,503,
02TE003,1,2025/01/24,528,
02TE003,1,2025/01/25,501,
02TE003,1,2025/01/26,509,
02TE003,1,2025/01/27,514,
02TE003,1,2025/01/28,509,
02TE003,1,2025/01/29,516,
02TE003,1,2025/01/30,505,
02TE003,1,2025/01/31,532,
02TE003,1,2025/02/01,531,
02TE003,1,2025/02/02,531,
02TE003,1,2025/02/03,531,
02TE003,1,2025/02/04,530,
02TE003,1,2025/02/05,521,
02TE003,1,2025/02/06,495,
02TE003,1,2025/02/07,525,
02TE003,1,2025/02/08,494,
02TE003,1,2025/02/09,525,
02TE003,1,2025/02/10,525,
02TE003,1,2025/02/11,526,
02TE003,1,2025/02/12,527,
02TE003,1,2025/02/13,520,
02TE003,1,2025/02/14,531,
02TE003,1,2025/02/15,541,
02TE003,1,2025/02/16,537,
02TE003,1,2025/02/17,522,
02TE003,1,2025/02/18,496,
02TE003,1,2025/02/19,521,
02TE003,1,2025/02/20,521,
02TE003,1,2025/02/21,520,
02TE003,1,2025/02/22,502,
02TE003,1,2025/02/23,501,
02TE003,1,2025/02/24,492,
02TE003,1,2025/02/25,466,
02TE003,1,2025/02/26,511,
02TE003,1,2025/02/27,512,
02TE003,1,2025/02/28,518,
02TE003,1,2025/03/01,525,
02TE003,1,2025/03/02,487,
02TE003,1,2025/03/03,523,
02TE003,1,2025/03/04,523,
02TE003,1,2025/03/05,524,
02TE003,1,2025/03/06,522,
02TE003,1,2025/03/07,469,
02TE003,1,2025/03/08,461,
02TE003,1,2025/03/09,503,
02TE003,1,2025/03/10,432,
02TE003,1,2025/03/11,409,
02TE003,1,2025/03/12,525,
02TE003,1,2025/03/13,523,
02TE003,1,2025/03/14,461,
02TE003,1,2025/03/15,505,
02TE003,1,2025/03/16,534,
02TE003,1,2025/03/17,540,
02TE003,1,2025/03/18,538,
02TE003,1,2025/03/19,529,
