 ID,PARAM,dateTime,Manic-1,SYM
02TC001,1,2025/01/01,714,
02TC001,1,2025/01/02,963,
02TC001,1,2025/01/03,1330,
02TC001,1,2025/01/04,1360,
02TC001,1,2025/01/05,1190,
02TC001,1,2025/01/06,1420,
02TC001,1,2025/01/07,1170,
02TC001,1,2025/01/08,1310,
02TC001,1,2025/01/09,1320,
02TC001,1,2025/01/10,1440,
02TC001,1,2025/01/11,1470,
02TC001,1,2025/01/12,1470,
02TC001,1,2025/01/13,1180,
02TC001,1,2025/01/14,1320,
02TC001,1,2025/01/15,1400,
02TC001,1,2025/01/16,1190,
02TC001,1,2025/01/17,1210,
02TC001,1,2025/01/18,1370,
02TC001,1,2025/01/19,1350,
02TC001,1,2025/01/20,1450,
02TC001,1,2025/01/21,1490,
02TC001,1,2025/01/22,1430,
02TC001,1,2025/01/23,1400,
02TC001,1,2025/01/24,1490,
02TC001,1,2025/01/25,1350,
02TC001,1,2025/01/26,1270,
02TC001,1,2025/01/27,1040,
02TC001,1,2025/01/28,878,
02TC001,1,2025/01/29,1060,
02TC001,1,2025/01/30,1440,
02TC001,1,2025/01/31,1350,
02TC001,1,2025/02/01,1520,
02TC001,1,2025/02/02,1460,
02TC001,1,2025/02/03,1400,
02TC001,1,2025/02/04,1350,
02TC001,1,2025/02/05,1350,
02TC001,1,2025/02/06,1380,
02TC001,1,2025/02/07,1460,
02TC001,1,2025/02/08,1470,
02TC001,1,2025/02/09,1380,
02TC001,1,2025/02/10,1460,
02TC001,1,2025/02/11,1340,
02TC001,1,2025/02/12,1550,
02TC001,1,2025/02/13,1510,
02TC001,1,2025/02/14,1510,
02TC001,1,2025/02/15,1500,
02TC001,1,2025/02/16,1480,
02TC001,1,2025/02/17,1430,
02TC001,1,2025/02/18,1400,
02TC001,1,2025/02/19,1430,
02TC001,1,2025/02/20,1300,
02TC001,1,2025/02/21,1260,
02TC001,1,2025/02/22,994,
02TC001,1,2025/02/23,1040,
02TC001,1,2025/02/24,1070,
02TC001,1,2025/02/25,881,
02TC001,1,2025/02/26,1370,
02TC001,1,2025/02/27,1440,
02TC001,1,2025/02/28,1180,
02TC001,1,2025/03/01,1040,
02TC001,1,2025/03/02,1270,
02TC001,1,2025/03/03,1010,
02TC001,1,2025/03/04,654,
02TC001,1,2025/03/05,850,
02TC001,1,2025/03/06,1080,
02TC001,1,2025/03/07,906,
02TC001,1,2025/03/08,983,
02TC001,1,2025/03/09,1050,
02TC001,1,2025/03/10,1180,
02TC001,1,2025/03/11,1150,
02TC001,1,2025/03/12,1280,
02TC001,1,2025/03/13,1380,
02TC001,1,2025/03/14,1130,
02TC001,1,2025/03/15,1080,
02TC001,1,2025/03/16,1260,
02TC001,1,2025/03/17,1010,
02TC001,1,2025/03/18,951,
02TC001,1,2025/03/19,974,
02TC001,1,2025/03/20,493,
02TC001,1,2025/03/21,983,
02TC001,1,2025/03/22,736,
02TC001,1,2025/03/23,456,
02TC001,1,2025/03/24,496,
02TC001,1,2025/03/25,439,
02TC001,1,2025/03/26,1130,
02TC001,1,2025/03/27,1420,
02TC001,1,2025/03/28,1150,
02TC001,1,2025/03/29,915,
02TC001,1,2025/03/30,745,
02TC001,1,2025/03/31,668,
02TC001,1,2025/04/01,566,
02TC001,1,2025/04/02,951,
02TC001,1,2025/04/03,1040,
02TC001,1,2025/04/04,824,
02TC001,1,2025/04/05,1010,
02TC001,1,2025/04/06,1100,
02TC001,1,2025/04/07,892,
02TC001,1,2025/04/08,898,
02TC001,1,2025/04/09,997,
02TC001,1,2025/04/10,1020,
02TC001,1,2025/04/11,1040,
02TC001,1,2025/04/12,852,
02TC001,1,2025/04/13,530,
02TC001,1,2025/04/14,430,
02TC001,1,2025/04/15,430,
02TC001,1,2025/04/16,697,
02TC001,1,2025/04/17,827,
02TC001,1,2025/04/18,892,
02TC001,1,2025/04/19,821,
02TC001,1,2025/04/20,804,
02TC001,1,2025/04/21,538,
02TC001,1,2025/04/22,425,
02TC001,1,2025/04/23,609,
02TC001,1,2025/04/24,671,
02TC001,1,2025/04/25,648,
02TC001,1,2025/04/26,626,
02TC001,1,2025/04/27,682,
02TC001,1,2025/04/28,736,
02TC001,1,2025/04/29,980,
02TC001,1,2025/04/30,1340,
02TC001,1,2025/05/01,1760,
02TC001,1,2025/05/02,2510,
02TC001,1,2025/05/03,2940,
02TC001,1,2025/05/04,2700,
02TC001,1,2025/05/05,2220,
02TC001,1,2025/05/06,980,
02TC001,1,2025/05/07,804,
02TC001,1,2025/05/08,810,
02TC001,1,2025/05/09,787,
02TC001,1,2025/05/10,748,
02TC001,1,2025/05/11,702,
02TC001,1,2025/05/12,818,
02TC001,1,2025/05/13,589,
