 ID,PARAM,dateTime,La grande-1,SYM
03DF001,1,2025/01/01,629,B
03DF001,1,2025/01/02,623,B
03DF001,1,2025/01/03,620,B
03DF001,1,2025/01/04,609,B
03DF001,1,2025/01/05,612,B
03DF001,1,2025/01/06,609,B
03DF001,1,2025/01/07,603,B
03DF001,1,2025/01/08,597,B
03DF001,1,2025/01/09,595,B
03DF001,1,2025/01/10,592,B
03DF001,1,2025/01/11,589,B
03DF001,1,2025/01/12,586,B
03DF001,1,2025/01/13,580,B
03DF001,1,2025/01/14,578,B
03DF001,1,2025/01/15,569,B
03DF001,1,2025/01/16,566,B
03DF001,1,2025/01/17,564,B
03DF001,1,2025/01/18,561,B
03DF001,1,2025/01/19,558,B
03DF001,1,2025/01/20,555,B
03DF001,1,2025/01/21,552,B
03DF001,1,2025/01/22,549,B
03DF001,1,2025/01/23,547,B
03DF001,1,2025/01/24,544,B
03DF001,1,2025/01/25,541,B
03DF001,1,2025/01/26,538,B
03DF001,1,2025/01/27,535,B
03DF001,1,2025/01/28,535,B
03DF001,1,2025/01/29,532,B
03DF001,1,2025/01/30,532,B
03DF001,1,2025/01/31,530,B
03DF001,1,2025/02/01,530,B
03DF001,1,2025/02/02,527,B
03DF001,1,2025/02/03,524,B
03DF001,1,2025/02/04,521,B
03DF001,1,2025/02/05,518,B
03DF001,1,2025/02/06,515,B
03DF001,1,2025/02/07,513,B
03DF001,1,2025/02/08,513,B
03DF001,1,2025/02/09,510,B
03DF001,1,2025/02/10,510,B
03DF001,1,2025/02/11,510,B
03DF001,1,2025/02/12,507,B
03DF001,1,2025/02/13,504,B
03DF001,1,2025/02/14,504,B
03DF001,1,2025/02/15,501,B
03DF001,1,2025/02/16,498,B
03DF001,1,2025/02/17,498,B
03DF001,1,2025/02/18,496,B
03DF001,1,2025/02/19,493,B
03DF001,1,2025/02/20,490,B
03DF001,1,2025/02/21,490,B
03DF001,1,2025/02/22,487,B
03DF001,1,2025/02/23,487,B
03DF001,1,2025/02/24,484,B
03DF001,1,2025/02/25,484,B
