 ID,PARAM,dateTime,Trenche,SYM
02NC003,1,2025/01/01,426,
02NC003,1,2025/01/02,470,
02NC003,1,2025/01/03,554,
02NC003,1,2025/01/04,463,
02NC003,1,2025/01/05,514,
02NC003,1,2025/01/06,517,
02NC003,1,2025/01/07,592,
02NC003,1,2025/01/08,500,
02NC003,1,2025/01/09,525,
02NC003,1,2025/01/10,524,
02NC003,1,2025/01/11,526,
02NC003,1,2025/01/12,551,
02NC003,1,2025/01/13,524,
02NC003,1,2025/01/14,500,
02NC003,1,2025/01/15,521,
02NC003,1,2025/01/16,577,
02NC003,1,2025/01/17,591,
02NC003,1,2025/01/18,555,
02NC003,1,2025/01/19,605,
02NC003,1,2025/01/20,639,
02NC003,1,2025/01/21,597,
02NC003,1,2025/01/22,547,
02NC003,1,2025/01/23,599,
02NC003,1,2025/01/24,588,
02NC003,1,2025/01/25,612,
02NC003,1,2025/01/26,602,
02NC003,1,2025/01/27,607,
02NC003,1,2025/01/28,589,
02NC003,1,2025/01/29,563,
02NC003,1,2025/01/30,635,
02NC003,1,2025/01/31,619,
02NC003,1,2025/02/01,667,
02NC003,1,2025/02/02,645,
02NC003,1,2025/02/03,656,
02NC003,1,2025/02/04,644,
02NC003,1,2025/02/05,625,
02NC003,1,2025/02/06,674,
02NC003,1,2025/02/07,627,
02NC003,1,2025/02/08,630,
02NC003,1,2025/02/09,658,
02NC003,1,2025/02/10,658,
02NC003,1,2025/02/11,660,
02NC003,1,2025/02/12,639,
02NC003,1,2025/02/13,659,
02NC003,1,2025/02/14,660,
02NC003,1,2025/02/15,623,
02NC003,1,2025/02/16,625,
02NC003,1,2025/02/17,660,
02NC003,1,2025/02/18,657,
02NC003,1,2025/02/19,655,
02NC003,1,2025/02/20,617,
02NC003,1,2025/02/21,592,
02NC003,1,2025/02/22,623,
02NC003,1,2025/02/23,593,
02NC003,1,2025/02/24,592,
02NC003,1,2025/02/25,595,
02NC003,1,2025/02/26,582,
02NC003,1,2025/02/27,596,
02NC003,1,2025/02/28,636,
02NC003,1,2025/03/01,625,
02NC003,1,2025/03/02,472,
02NC003,1,2025/03/03,422,
02NC003,1,2025/03/04,545,
02NC003,1,2025/03/05,582,
02NC003,1,2025/03/06,574,
02NC003,1,2025/03/07,567,
02NC003,1,2025/03/08,566,
02NC003,1,2025/03/09,538,
02NC003,1,2025/03/10,561,
02NC003,1,2025/03/11,560,
02NC003,1,2025/03/12,560,
02NC003,1,2025/03/13,491,
02NC003,1,2025/03/14,495,
02NC003,1,2025/03/15,544,
02NC003,1,2025/03/16,581,
02NC003,1,2025/03/17,543,
02NC003,1,2025/03/18,509,
02NC003,1,2025/03/19,509,
02NC003,1,2025/03/20,490,
02NC003,1,2025/03/21,482,
02NC003,1,2025/03/22,448,
02NC003,1,2025/03/23,431,
02NC003,1,2025/03/24,519,
02NC003,1,2025/03/25,489,
02NC003,1,2025/03/26,414,
02NC003,1,2025/03/27,404,
02NC003,1,2025/03/28,411,
02NC003,1,2025/03/29,443,
02NC003,1,2025/03/30,451,
02NC003,1,2025/03/31,385,
02NC003,1,2025/04/01,413,
02NC003,1,2025/04/02,379,
02NC003,1,2025/04/03,377,
02NC003,1,2025/04/04,384,
02NC003,1,2025/04/05,419,
02NC003,1,2025/04/06,384,
02NC003,1,2025/04/07,356,
02NC003,1,2025/04/08,369,
02NC003,1,2025/04/09,351,
02NC003,1,2025/04/10,433,
02NC003,1,2025/04/11,440,
02NC003,1,2025/04/12,443,
02NC003,1,2025/04/13,438,
02NC003,1,2025/04/14,409,
02NC003,1,2025/04/15,375,
02NC003,1,2025/04/16,357,
02NC003,1,2025/04/17,413,
02NC003,1,2025/04/18,395,
02NC003,1,2025/04/19,363,
02NC003,1,2025/04/20,514,
02NC003,1,2025/04/21,567,
02NC003,1,2025/04/22,472,
02NC003,1,2025/04/23,480,
02NC003,1,2025/04/24,469,
02NC003,1,2025/04/25,419,
02NC003,1,2025/04/26,379,
02NC003,1,2025/04/27,338,
