 ID,PARAM,dateTime,La Gabelle,SYM
02NG005,1,2025/01/01,618,
02NG005,1,2025/01/02,523,
02NG005,1,2025/01/03,662,
02NG005,1,2025/01/04,690,
02NG005,1,2025/01/05,651,
02NG005,1,2025/01/06,678,
02NG005,1,2025/01/07,661,
02NG005,1,2025/01/08,639,
02NG005,1,2025/01/09,661,
02NG005,1,2025/01/10,655,
02NG005,1,2025/01/11,679,
02NG005,1,2025/01/12,680,
02NG005,1,2025/01/13,675,
02NG005,1,2025/01/14,706,
02NG005,1,2025/01/15,674,
02NG005,1,2025/01/16,688,
02NG005,1,2025/01/17,695,
02NG005,1,2025/01/18,745,
02NG005,1,2025/01/19,708,
02NG005,1,2025/01/20,721,
02NG005,1,2025/01/21,710,
02NG005,1,2025/01/22,753,
02NG005,1,2025/01/23,682,
02NG005,1,2025/01/24,723,
02NG005,1,2025/01/25,742,
02NG005,1,2025/01/26,739,
02NG005,1,2025/01/27,674,
02NG005,1,2025/01/28,737,
02NG005,1,2025/01/29,740,
02NG005,1,2025/01/30,725,
02NG005,1,2025/01/31,746,
02NG005,1,2025/02/01,696,
02NG005,1,2025/02/02,755,
02NG005,1,2025/02/03,729,
02NG005,1,2025/02/04,730,
02NG005,1,2025/02/05,730,
02NG005,1,2025/02/06,746,
02NG005,1,2025/02/07,761,
02NG005,1,2025/02/08,743,
02NG005,1,2025/02/09,753,
02NG005,1,2025/02/10,758,
02NG005,1,2025/02/11,744,
02NG005,1,2025/02/12,743,
02NG005,1,2025/02/13,755,
02NG005,1,2025/02/14,732,
02NG005,1,2025/02/15,754,
02NG005,1,2025/02/16,737,
02NG005,1,2025/02/17,740,
02NG005,1,2025/02/18,748,
02NG005,1,2025/02/19,746,
02NG005,1,2025/02/20,744,
02NG005,1,2025/02/21,740,
02NG005,1,2025/02/22,704,
02NG005,1,2025/02/23,695,
02NG005,1,2025/02/24,713,
02NG005,1,2025/02/25,685,
02NG005,1,2025/02/26,703,
02NG005,1,2025/02/27,696,
02NG005,1,2025/02/28,682,
02NG005,1,2025/03/01,733,
02NG005,1,2025/03/02,695,
02NG005,1,2025/03/03,653,
02NG005,1,2025/03/04,574,
02NG005,1,2025/03/05,638,
02NG005,1,2025/03/06,652,
02NG005,1,2025/03/07,675,
02NG005,1,2025/03/08,656,
02NG005,1,2025/03/09,658,
02NG005,1,2025/03/10,674,
02NG005,1,2025/03/11,667,
02NG005,1,2025/03/12,652,
02NG005,1,2025/03/13,663,
02NG005,1,2025/03/14,620,
02NG005,1,2025/03/15,593,
02NG005,1,2025/03/16,593,
02NG005,1,2025/03/17,624,
02NG005,1,2025/03/18,625,
02NG005,1,2025/03/19,562,
02NG005,1,2025/03/20,613,
02NG005,1,2025/03/21,591,
02NG005,1,2025/03/22,589,
02NG005,1,2025/03/23,555,
02NG005,1,2025/03/24,504,
02NG005,1,2025/03/25,576,
02NG005,1,2025/03/26,585,
02NG005,1,2025/03/27,552,
02NG005,1,2025/03/28,533,
02NG005,1,2025/03/29,524,
02NG005,1,2025/03/30,507,
02NG005,1,2025/03/31,551,
02NG005,1,2025/04/01,523,
02NG005,1,2025/04/02,555,
02NG005,1,2025/04/03,505,
02NG005,1,2025/04/04,509,
02NG005,1,2025/04/05,508,
02NG005,1,2025/04/06,551,
02NG005,1,2025/04/07,517,
02NG005,1,2025/04/08,495,
02NG005,1,2025/04/09,508,
02NG005,1,2025/04/10,521,
02NG005,1,2025/04/11,550,
02NG005,1,2025/04/12,574,
02NG005,1,2025/04/13,547,
02NG005,1,2025/04/14,586,
02NG005,1,2025/04/15,603,
02NG005,1,2025/04/16,744,
02NG005,1,2025/04/17,841,
02NG005,1,2025/04/18,861,
02NG005,1,2025/04/19,825,
02NG005,1,2025/04/20,867,
02NG005,1,2025/04/21,929,
02NG005,1,2025/04/22,958,
02NG005,1,2025/04/23,903,
02NG005,1,2025/04/24,804,
02NG005,1,2025/04/25,826,
02NG005,1,2025/04/26,842,
02NG005,1,2025/04/27,756,
02NG005,1,2025/04/28,854,
02NG005,1,2025/04/29,922,
02NG005,1,2025/04/30,939,
02NG005,1,2025/05/01,960,
02NG005,1,2025/05/02,1140,
02NG005,1,2025/05/03,1150,
02NG005,1,2025/05/04,1060,
02NG005,1,2025/05/05,1140,
02NG005,1,2025/05/06,1440,
02NG005,1,2025/05/07,1510,
02NG005,1,2025/05/08,1680,
02NG005,1,2025/05/09,1660,
02NG005,1,2025/05/10,1760,
02NG005,1,2025/05/11,2160,
02NG005,1,2025/05/12,2170,
02NG005,1,2025/05/13,2090,
02NG005,1,2025/05/14,2210,
02NG005,1,2025/05/15,2160,
02NG005,1,2025/05/16,1760,
02NG005,1,2025/05/17,1590,
02NG005,1,2025/05/18,1420,
02NG005,1,2025/05/19,1260,
02NG005,1,2025/05/20,1060,
02NG005,1,2025/05/21,1060,
02NG005,1,2025/05/22,1190,
02NG005,1,2025/05/23,1060,
02NG005,1,2025/05/24,973,
02NG005,1,2025/05/25,834,
02NG005,1,2025/05/26,847,
02NG005,1,2025/05/27,739,
02NG005,1,2025/05/28,699,
02NG005,1,2025/05/29,752,
02NG005,1,2025/05/30,727,
02NG005,1,2025/05/31,633,
02NG005,1,2025/06/01,817,
02NG005,1,2025/06/02,913,
02NG005,1,2025/06/03,1010,
02NG005,1,2025/06/04,1040,
02NG005,1,2025/06/05,1130,
02NG005,1,2025/06/06,1040,
02NG005,1,2025/06/07,799,
02NG005,1,2025/06/08,754,
02NG005,1,2025/06/09,678,
02NG005,1,2025/06/10,671,
02NG005,1,2025/06/11,620,
02NG005,1,2025/06/12,579,
02NG005,1,2025/06/13,515,
