 ID,PARAM,Date,Rapide-des-Quinze,SYM
02JB008,1,2025/01/01,464,
02JB008,1,2025/01/02,462,
02JB008,1,2025/01/03,460,
02JB008,1,2025/01/04,458,
02JB008,1,2025/01/05,474,
02JB008,1,2025/01/06,494,
02JB008,1,2025/01/07,487,
02JB008,1,2025/01/08,488,
02JB008,1,2025/01/09,484,
02JB008,1,2025/01/10,483,
02JB008,1,2025/01/11,477,
02JB008,1,2025/01/12,474,
02JB008,1,2025/01/13,482,
02JB008,1,2025/01/14,503,
02JB008,1,2025/01/15,497,
02JB008,1,2025/01/16,494,
02JB008,1,2025/01/17,479,
02JB008,1,2025/01/18,474,
02JB008,1,2025/01/19,469,
02JB008,1,2025/01/20,460,
02JB008,1,2025/01/21,480,
02JB008,1,2025/01/22,496,
02JB008,1,2025/01/23,488,
02JB008,1,2025/01/24,475,
02JB008,1,2025/01/25,469,
02JB008,1,2025/01/26,457,
02JB008,1,2025/01/27,457,
02JB008,1,2025/01/28,457,
02JB008,1,2025/01/29,445,
02JB008,1,2025/01/30,441,
02JB008,1,2025/01/31,450,
02JB008,1,2025/02/01,478,
02JB008,1,2025/02/02,474,
02JB008,1,2025/02/03,461,
02JB008,1,2025/02/04,455,
02JB008,1,2025/02/05,451,
02JB008,1,2025/02/06,446,
02JB008,1,2025/02/07,448,
02JB008,1,2025/02/08,439,
02JB008,1,2025/02/09,435,
02JB008,1,2025/02/10,431,
02JB008,1,2025/02/11,429,
02JB008,1,2025/02/12,426,
02JB008,1,2025/02/13,425,
02JB008,1,2025/02/14,423,
02JB008,1,2025/02/15,422,
02JB008,1,2025/02/16,417,
02JB008,1,2025/02/17,419,
02JB008,1,2025/02/18,414,
02JB008,1,2025/02/19,414,
02JB008,1,2025/02/20,418,
02JB008,1,2025/02/21,416,
02JB008,1,2025/02/22,412,
02JB008,1,2025/02/23,415,
02JB008,1,2025/02/24,414,
02JB008,1,2025/02/25,412,
02JB008,1,2025/02/26,406,
02JB008,1,2025/02/27,396,
02JB008,1,2025/02/28,423,
02JB008,1,2025/03/01,446,
02JB008,1,2025/03/02,436,
02JB008,1,2025/03/03,433,
02JB008,1,2025/03/04,436,
02JB008,1,2025/03/05,427,
02JB008,1,2025/03/06,416,
02JB008,1,2025/03/07,431,
02JB008,1,2025/03/08,449,
02JB008,1,2025/03/09,439,
02JB008,1,2025/03/10,448,
02JB008,1,2025/03/11,450,
02JB008,1,2025/03/12,452,
02JB008,1,2025/03/13,441,
02JB008,1,2025/03/14,430,
02JB008,1,2025/03/15,425,
02JB008,1,2025/03/16,414,
02JB008,1,2025/03/17,409,
02JB008,1,2025/03/18,394,
02JB008,1,2025/03/19,381,
02JB008,1,2025/03/20,367,
02JB008,1,2025/03/21,358,
02JB008,1,2025/03/22,337,
02JB008,1,2025/03/23,322,
02JB008,1,2025/03/24,310,
02JB008,1,2025/03/25,296,
02JB008,1,2025/03/26,286,
02JB008,1,2025/03/27,273,
02JB008,1,2025/03/28,268,
02JB008,1,2025/03/29,253,
02JB008,1,2025/03/30,241,
02JB008,1,2025/03/31,239,
02JB008,1,2025/04/01,230,
02JB008,1,2025/04/02,225,
02JB008,1,2025/04/03,218,
02JB008,1,2025/04/04,215,
02JB008,1,2025/04/05,205,
02JB008,1,2025/04/06,200,
02JB008,1,2025/04/07,201,
02JB008,1,2025/04/08,195,
02JB008,1,2025/04/09,192,
02JB008,1,2025/04/10,192,
02JB008,1,2025/04/11,187,
02JB008,1,2025/04/12,179,
02JB008,1,2025/04/13,185,
02JB008,1,2025/04/14,194,
02JB008,1,2025/04/15,229,
02JB008,1,2025/04/16,241,
02JB008,1,2025/04/17,256,
02JB008,1,2025/04/18,282,
02JB008,1,2025/04/19,306,
02JB008,1,2025/04/20,337,
02JB008,1,2025/04/21,345,
02JB008,1,2025/04/22,344,
02JB008,1,2025/04/23,346,
02JB008,1,2025/04/24,355,
02JB008,1,2025/04/25,340,
02JB008,1,2025/04/26,347,
02JB008,1,2025/04/27,349,
02JB008,1,2025/04/28,341,
02JB008,1,2025/04/29,335,
02JB008,1,2025/04/30,344,
02JB008,1,2025/05/01,364,
02JB008,1,2025/05/02,355,
02JB008,1,2025/05/03,336,
02JB008,1,2025/05/04,335,
02JB008,1,2025/05/05,313,
02JB008,1,2025/05/06,301,
02JB008,1,2025/05/07,311,
02JB008,1,2025/05/08,329,
02JB008,1,2025/05/09,317,
02JB008,1,2025/05/10,305,
02JB008,1,2025/05/11,299,
02JB008,1,2025/05/12,289,
02JB008,1,2025/05/13,288,
02JB008,1,2025/05/14,287,
02JB008,1,2025/05/15,295,
02JB008,1,2025/05/16,296,
02JB008,1,2025/05/17,296,
02JB008,1,2025/05/18,288,
02JB008,1,2025/05/19,277,
02JB008,1,2025/05/20,325,
02JB008,1,2025/05/21,350,
02JB008,1,2025/05/22,353,
02JB008,1,2025/05/23,356,
02JB008,1,2025/05/24,364,
02JB008,1,2025/05/25,356,
02JB008,1,2025/05/26,361,
02JB008,1,2025/05/27,354,
02JB008,1,2025/05/28,326,
02JB008,1,2025/05/29,327,
02JB008,1,2025/05/30,318,
02JB008,1,2025/05/31,303,
02JB008,1,2025/06/01,303,
02JB008,1,2025/06/02,308,
02JB008,1,2025/06/03,322,
02JB008,1,2025/06/04,343,
02JB008,1,2025/06/05,350,
02JB008,1,2025/06/06,337,
02JB008,1,2025/06/07,331,
02JB008,1,2025/06/08,313,
02JB008,1,2025/06/09,318,
02JB008,1,2025/06/10,318,
02JB008,1,2025/06/11,323,
02JB008,1,2025/06/12,325,
02JB008,1,2025/06/13,326,
02JB008,1,2025/06/14,317,
02JB008,1,2025/06/15,318,
02JB008,1,2025/06/16,310,
02JB008,1,2025/06/17,312,
02JB008,1,2025/06/18,314,
02JB008,1,2025/06/19,314,
02JB008,1,2025/06/20,313,
02JB008,1,2025/06/21,339,
02JB008,1,2025/06/22,335,
02JB008,1,2025/06/23,344,
02JB008,1,2025/06/24,347,
02JB008,1,2025/06/25,355,
02JB008,1,2025/06/26,358,
02JB008,1,2025/06/27,364,
02JB008,1,2025/06/28,429,
02JB008,1,2025/06/29,500,
02JB008,1,2025/06/30,500,
02JB008,1,2025/07/01,508,
02JB008,1,2025/07/02,513,
02JB008,1,2025/07/03,522,
02JB008,1,2025/07/04,638,
02JB008,1,2025/07/05,754,
02JB008,1,2025/07/06,788,
02JB008,1,2025/07/07,772,
02JB008,1,2025/07/08,748,
