 ID,PARAM,dateTime,Riviere-des-Prairies,SYM
02OA072,1,2025/01/01,946,
02OA072,1,2025/01/02,919,
02OA072,1,2025/01/03,897,
02OA072,1,2025/01/04,935,
02OA072,1,2025/01/05,1080,
02OA072,1,2025/01/06,1190,
02OA072,1,2025/01/07,1220,
02OA072,1,2025/01/08,1210,
02OA072,1,2025/01/09,1110,
02OA072,1,2025/01/10,998,
02OA072,1,2025/01/11,985,
02OA072,1,2025/01/12,958,
02OA072,1,2025/01/13,916,
02OA072,1,2025/01/14,886,
02OA072,1,2025/01/15,903,
02OA072,1,2025/01/16,922,
02OA072,1,2025/01/17,957,
02OA072,1,2025/01/18,935,
02OA072,1,2025/01/19,920,
02OA072,1,2025/01/20,942,
02OA072,1,2025/01/21,925,
02OA072,1,2025/01/22,969,
02OA072,1,2025/01/23,984,
02OA072,1,2025/01/24,994,
02OA072,1,2025/01/25,1000,
02OA072,1,2025/01/26,993,
02OA072,1,2025/01/27,1010,
02OA072,1,2025/01/28,1010,
02OA072,1,2025/01/29,1050,
02OA072,1,2025/01/30,1020,
02OA072,1,2025/01/31,982,
02OA072,1,2025/02/01,989,
02OA072,1,2025/02/02,1000,
02OA072,1,2025/02/03,951,
02OA072,1,2025/02/04,927,
02OA072,1,2025/02/05,945,
02OA072,1,2025/02/06,941,
02OA072,1,2025/02/07,925,
02OA072,1,2025/02/08,916,
02OA072,1,2025/02/09,974,
02OA072,1,2025/02/10,894,
02OA072,1,2025/02/11,848,
02OA072,1,2025/02/12,834,
02OA072,1,2025/02/13,861,
02OA072,1,2025/02/14,914,
02OA072,1,2025/02/15,914,
02OA072,1,2025/02/16,898,
02OA072,1,2025/02/17,1200,
02OA072,1,2025/02/18,1240,
02OA072,1,2025/02/19,839,
02OA072,1,2025/02/20,863,
02OA072,1,2025/02/21,796,
02OA072,1,2025/02/22,797,
02OA072,1,2025/02/23,820,
02OA072,1,2025/02/24,827,
02OA072,1,2025/02/25,805,
02OA072,1,2025/02/26,806,
02OA072,1,2025/02/27,821,
02OA072,1,2025/02/28,820,
02OA072,1,2025/03/01,803,
02OA072,1,2025/03/02,826,
02OA072,1,2025/03/03,854,
02OA072,1,2025/03/04,854,
02OA072,1,2025/03/05,841,
02OA072,1,2025/03/06,827,
02OA072,1,2025/03/07,828,
02OA072,1,2025/03/08,806,
02OA072,1,2025/03/09,825,
