x,y,TEMP_FLAG,VISIBILITY_FLAG,LOCAL_DATE,LOCAL_HOUR,DEW_POINT_TEMP_FLAG,PROVINCE_CODE,PRECIP_AMOUNT_FLAG,STATION_NAME,WIND_DIRECTION,STATION_PRESSURE_FLAG,WEATHER_FRE_DESC,WIND_SPEED_FLAG,HUMIDEX,WIND_DIRECTION_FLAG,VISIBILITY,UTC_YEAR,LOCAL_DAY,UTC_MONTH,HUMIDEX_FLAG,UTC_DAY,UTC_DATE,STATION_PRESSURE,WEATHER_ENG_DESC,WINDCHILL_FLAG,DEW_POINT_TEMP,CLIMATE_IDENTIFIER,TEMP,LOCAL_YEAR,WINDCHILL,RELATIVE_HUMIDITY_FLAG,ID,WIND_SPEED,RELATIVE_HUMIDITY,PRECIP_AMOUNT,LOCAL_MONTH
-71.6913888888889,45.43861111111111,,,2024-09-14 11:00:00,11,,QC,,SHERBROOKE,,,ND,,28,M,16.1,2024,14,9,,14,2024-09-14T16:00:00,99.79,NA,,16.2,7028123,22.8,2024,,,7028123.2024.9.14.11,5,66,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 12:00:00,12,,QC,,SHERBROOKE,,,ND,,29,M,16.1,2024,14,9,,14,2024-09-14T17:00:00,99.76,NA,,16.1,7028123,24.3,2024,,,7028123.2024.9.14.12,4,60,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 13:00:00,13,,QC,,SHERBROOKE,6,,ND,,29,,16.1,2024,14,9,,14,2024-09-14T18:00:00,99.72,NA,,14.9,7028123,25.3,2024,,,7028123.2024.9.14.13,11,52,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 14:00:00,14,,QC,,SHERBROOKE,,,ND,,29,M,16.1,2024,14,9,,14,2024-09-14T19:00:00,99.69,NA,,13.9,7028123,25.7,2024,,,7028123.2024.9.14.14,8,47,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 15:00:00,15,,QC,,SHERBROOKE,5,,ND,,29,,16.1,2024,14,9,,14,2024-09-14T20:00:00,99.68,NA,,13.4,7028123,25.8,2024,,,7028123.2024.9.14.15,8,46,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 16:00:00,16,,QC,,SHERBROOKE,6,,ND,,28,,16.1,2024,14,9,,14,2024-09-14T21:00:00,99.67,NA,,12.9,7028123,25.5,2024,,,7028123.2024.9.14.16,8,45,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 17:00:00,17,,QC,,SHERBROOKE,,,ND,,27,M,16.1,2024,14,9,,14,2024-09-14T22:00:00,99.68,NA,,13.9,7028123,24.1,2024,,,7028123.2024.9.14.17,4,53,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 18:00:00,18,,QC,,SHERBROOKE,0,,ND,,,,16.1,2024,14,9,,14,2024-09-14T23:00:00,99.7,NA,,15.3,7028123,18.8,2024,,,7028123.2024.9.14.18,0,80,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 19:00:00,19,,QC,,SHERBROOKE,0,,ND,,,,16.1,2024,14,9,,15,2024-09-15T00:00:00,99.74,NA,,14.6,7028123,16.6,2024,,,7028123.2024.9.14.19,0,88,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 20:00:00,20,,QC,,SHERBROOKE,10,,ND,,,,16.1,2024,14,9,,15,2024-09-15T01:00:00,99.77,NA,,13.3,7028123,14.8,2024,,,7028123.2024.9.14.20,5,91,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 21:00:00,21,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,14,9,,15,2024-09-15T02:00:00,99.81,NA,,12.3,7028123,13.4,2024,,,7028123.2024.9.14.21,4,93,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 22:00:00,22,,QC,,SHERBROOKE,8,,ND,,,,16.1,2024,14,9,,15,2024-09-15T03:00:00,99.82,NA,,12.0,7028123,13.1,2024,,,7028123.2024.9.14.22,8,93,0,9
-71.6913888888889,45.43861111111111,,,2024-09-14 23:00:00,23,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,14,9,,15,2024-09-15T04:00:00,99.84,NA,,10.9,7028123,11.8,2024,,,7028123.2024.9.14.23,8,94,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 00:00:00,0,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,15,9,,15,2024-09-15T05:00:00,99.86,NA,,10.3,7028123,11.2,2024,,,7028123.2024.9.15.0,8,94,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 01:00:00,1,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,15,9,,15,2024-09-15T06:00:00,99.86,NA,,9.4,7028123,10.2,2024,,,7028123.2024.9.15.1,5,95,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 02:00:00,2,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,15,9,,15,2024-09-15T07:00:00,99.86,NA,,8.7,7028123,9.5,2024,,,7028123.2024.9.15.2,9,95,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 03:00:00,3,,QC,,SHERBROOKE,10,,ND,,,,16.1,2024,15,9,,15,2024-09-15T08:00:00,99.86,NA,,8.0,7028123,8.7,2024,,,7028123.2024.9.15.3,8,95,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 04:00:00,4,,QC,,SHERBROOKE,8,,ND,,,,16.1,2024,15,9,,15,2024-09-15T09:00:00,99.88,NA,,7.5,7028123,8.2,2024,,,7028123.2024.9.15.4,8,95,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 05:00:00,5,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,15,9,,15,2024-09-15T10:00:00,99.92,NA,,7.7,7028123,8.4,2024,,,7028123.2024.9.15.5,8,95,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 06:00:00,6,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,15,9,,15,2024-09-15T11:00:00,99.96,NA,,7.5,7028123,8.4,2024,,,7028123.2024.9.15.6,8,94,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 07:00:00,7,,QC,,SHERBROOKE,9,,ND,,,,16.1,2024,15,9,,15,2024-09-15T12:00:00,99.98,NA,,8.8,7028123,10.1,2024,,,7028123.2024.9.15.7,8,92,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 08:00:00,8,,QC,,SHERBROOKE,0,,ND,,,,16.1,2024,15,9,,15,2024-09-15T13:00:00,100.02,NA,,10.1,7028123,13.2,2024,,,7028123.2024.9.15.8,0,81,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 09:00:00,9,,QC,,SHERBROOKE,0,,ND,,,,16.1,2024,15,9,,15,2024-09-15T14:00:00,100.0,NA,,11.5,7028123,16.9,2024,,,7028123.2024.9.15.9,0,70,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 10:00:00,10,,QC,,SHERBROOKE,,,ND,,,M,16.1,2024,15,9,,15,2024-09-15T15:00:00,99.99,NA,,14.1,7028123,20.2,2024,,,7028123.2024.9.15.10,4,68,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 11:00:00,11,,QC,,SHERBROOKE,,,ND,,26,M,16.1,2024,15,9,,15,2024-09-15T16:00:00,99.95,NA,,13.9,7028123,23.0,2024,,,7028123.2024.9.15.11,4,56,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 12:00:00,12,,QC,,SHERBROOKE,,,ND,,27,M,16.1,2024,15,9,,15,2024-09-15T17:00:00,99.92,NA,,12.4,7028123,24.9,2024,,,7028123.2024.9.15.12,9,45,0,9
-71.6913888888889,45.43861111111111,,,2024-09-15 13:00:00,13,,QC,,SHERBROOKE,24,,ND,,29,,16.1,2024,15,9,,15,2024-09-15T18:00:00,99.86,NA,,13.6,7028123,25.4,2024,,,7028123.2024.9.15.13,5,48,0,9
