x,y,DEW_POINT_TEMP,WEATHER_FRE_DESC,PROVINCE_CODE,STATION_NAME,UTC_YEAR,WIND_DIRECTION,UTC_DAY,LOCAL_MONTH,STATION_PRESSURE,HUMIDEX_FLAG,VISIBILITY_FLAG,WIND_DIRECTION_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,LOCAL_HOUR,WINDCHILL_FLAG,HUMIDEX,WEATHER_ENG_DESC,TEMP_FLAG,TEMP,WIND_SPEED,UTC_DATE,LOCAL_DATE,LOCAL_YEAR,RELATIVE_HUMIDITY_FLAG,ID,STATION_PRESSURE_FLAG,VISIBILITY,WINDCHILL,CLIMATE_IDENTIFIER,LOCAL_DAY,WIND_SPEED_FLAG,DEW_POINT_TEMP_FLAG,UTC_MONTH,RELATIVE_HUMIDITY
-71.6913888888889,45.43861111111111,16.2,ND,QC,SHERBROOKE,2024,,14,9,99.79,,,M,0,,11,,28,NA,,22.8,5,2024-09-14T16:00:00,2024-09-14 11:00:00,2024,,7028123.2024.9.14.11,,16.1,,7028123,14,,,9,66
-71.6913888888889,45.43861111111111,16.1,ND,QC,SHERBROOKE,2024,,14,9,99.76,,,M,0,,12,,29,NA,,24.3,4,2024-09-14T17:00:00,2024-09-14 12:00:00,2024,,7028123.2024.9.14.12,,16.1,,7028123,14,,,9,60
-71.6913888888889,45.43861111111111,14.9,ND,QC,SHERBROOKE,2024,6,14,9,99.72,,,,0,,13,,29,NA,,25.3,11,2024-09-14T18:00:00,2024-09-14 13:00:00,2024,,7028123.2024.9.14.13,,16.1,,7028123,14,,,9,52
-71.6913888888889,45.43861111111111,13.9,ND,QC,SHERBROOKE,2024,,14,9,99.69,,,M,0,,14,,29,NA,,25.7,8,2024-09-14T19:00:00,2024-09-14 14:00:00,2024,,7028123.2024.9.14.14,,16.1,,7028123,14,,,9,47
-71.6913888888889,45.43861111111111,13.4,ND,QC,SHERBROOKE,2024,5,14,9,99.68,,,,0,,15,,29,NA,,25.8,8,2024-09-14T20:00:00,2024-09-14 15:00:00,2024,,7028123.2024.9.14.15,,16.1,,7028123,14,,,9,46
-71.6913888888889,45.43861111111111,12.9,ND,QC,SHERBROOKE,2024,6,14,9,99.67,,,,0,,16,,28,NA,,25.5,8,2024-09-14T21:00:00,2024-09-14 16:00:00,2024,,7028123.2024.9.14.16,,16.1,,7028123,14,,,9,45
-71.6913888888889,45.43861111111111,13.9,ND,QC,SHERBROOKE,2024,,14,9,99.68,,,M,0,,17,,27,NA,,24.1,4,2024-09-14T22:00:00,2024-09-14 17:00:00,2024,,7028123.2024.9.14.17,,16.1,,7028123,14,,,9,53
-71.6913888888889,45.43861111111111,15.3,ND,QC,SHERBROOKE,2024,0,14,9,99.7,,,,0,,18,,,NA,,18.8,0,2024-09-14T23:00:00,2024-09-14 18:00:00,2024,,7028123.2024.9.14.18,,16.1,,7028123,14,,,9,80
-71.6913888888889,45.43861111111111,14.6,ND,QC,SHERBROOKE,2024,0,15,9,99.74,,,,0,,19,,,NA,,16.6,0,2024-09-15T00:00:00,2024-09-14 19:00:00,2024,,7028123.2024.9.14.19,,16.1,,7028123,14,,,9,88
-71.6913888888889,45.43861111111111,13.3,ND,QC,SHERBROOKE,2024,10,15,9,99.77,,,,0,,20,,,NA,,14.8,5,2024-09-15T01:00:00,2024-09-14 20:00:00,2024,,7028123.2024.9.14.20,,16.1,,7028123,14,,,9,91
-71.6913888888889,45.43861111111111,12.3,ND,QC,SHERBROOKE,2024,9,15,9,99.81,,,,0,,21,,,NA,,13.4,4,2024-09-15T02:00:00,2024-09-14 21:00:00,2024,,7028123.2024.9.14.21,,16.1,,7028123,14,,,9,93
-71.6913888888889,45.43861111111111,12.0,ND,QC,SHERBROOKE,2024,8,15,9,99.82,,,,0,,22,,,NA,,13.1,8,2024-09-15T03:00:00,2024-09-14 22:00:00,2024,,7028123.2024.9.14.22,,16.1,,7028123,14,,,9,93
-71.6913888888889,45.43861111111111,10.9,ND,QC,SHERBROOKE,2024,9,15,9,99.84,,,,0,,23,,,NA,,11.8,8,2024-09-15T04:00:00,2024-09-14 23:00:00,2024,,7028123.2024.9.14.23,,16.1,,7028123,14,,,9,94
-71.6913888888889,45.43861111111111,10.3,ND,QC,SHERBROOKE,2024,9,15,9,99.86,,,,0,,0,,,NA,,11.2,8,2024-09-15T05:00:00,2024-09-15 00:00:00,2024,,7028123.2024.9.15.0,,16.1,,7028123,15,,,9,94
-71.6913888888889,45.43861111111111,9.4,ND,QC,SHERBROOKE,2024,9,15,9,99.86,,,,0,,1,,,NA,,10.2,5,2024-09-15T06:00:00,2024-09-15 01:00:00,2024,,7028123.2024.9.15.1,,16.1,,7028123,15,,,9,95
-71.6913888888889,45.43861111111111,8.7,ND,QC,SHERBROOKE,2024,9,15,9,99.86,,,,0,,2,,,NA,,9.5,9,2024-09-15T07:00:00,2024-09-15 02:00:00,2024,,7028123.2024.9.15.2,,16.1,,7028123,15,,,9,95
-71.6913888888889,45.43861111111111,8.0,ND,QC,SHERBROOKE,2024,10,15,9,99.86,,,,0,,3,,,NA,,8.7,8,2024-09-15T08:00:00,2024-09-15 03:00:00,2024,,7028123.2024.9.15.3,,16.1,,7028123,15,,,9,95
-71.6913888888889,45.43861111111111,7.5,ND,QC,SHERBROOKE,2024,8,15,9,99.88,,,,0,,4,,,NA,,8.2,8,2024-09-15T09:00:00,2024-09-15 04:00:00,2024,,7028123.2024.9.15.4,,16.1,,7028123,15,,,9,95
-71.6913888888889,45.43861111111111,7.7,ND,QC,SHERBROOKE,2024,9,15,9,99.92,,,,0,,5,,,NA,,8.4,8,2024-09-15T10:00:00,2024-09-15 05:00:00,2024,,7028123.2024.9.15.5,,16.1,,7028123,15,,,9,95
-71.6913888888889,45.43861111111111,7.5,ND,QC,SHERBROOKE,2024,9,15,9,99.96,,,,0,,6,,,NA,,8.4,8,2024-09-15T11:00:00,2024-09-15 06:00:00,2024,,7028123.2024.9.15.6,,16.1,,7028123,15,,,9,94
-71.6913888888889,45.43861111111111,8.8,ND,QC,SHERBROOKE,2024,9,15,9,99.98,,,,0,,7,,,NA,,10.1,8,2024-09-15T12:00:00,2024-09-15 07:00:00,2024,,7028123.2024.9.15.7,,16.1,,7028123,15,,,9,92
-71.6913888888889,45.43861111111111,10.1,ND,QC,SHERBROOKE,2024,0,15,9,100.02,,,,0,,8,,,NA,,13.2,0,2024-09-15T13:00:00,2024-09-15 08:00:00,2024,,7028123.2024.9.15.8,,16.1,,7028123,15,,,9,81
-71.6913888888889,45.43861111111111,11.5,ND,QC,SHERBROOKE,2024,0,15,9,100.0,,,,0,,9,,,NA,,16.9,0,2024-09-15T14:00:00,2024-09-15 09:00:00,2024,,7028123.2024.9.15.9,,16.1,,7028123,15,,,9,70
-71.6913888888889,45.43861111111111,14.1,ND,QC,SHERBROOKE,2024,,15,9,99.99,,,M,0,,10,,,NA,,20.2,4,2024-09-15T15:00:00,2024-09-15 10:00:00,2024,,7028123.2024.9.15.10,,16.1,,7028123,15,,,9,68
-71.6913888888889,45.43861111111111,13.9,ND,QC,SHERBROOKE,2024,,15,9,99.95,,,M,0,,11,,26,NA,,23.0,4,2024-09-15T16:00:00,2024-09-15 11:00:00,2024,,7028123.2024.9.15.11,,16.1,,7028123,15,,,9,56
-71.6913888888889,45.43861111111111,12.4,ND,QC,SHERBROOKE,2024,,15,9,99.92,,,M,0,,12,,27,NA,,24.9,9,2024-09-15T17:00:00,2024-09-15 12:00:00,2024,,7028123.2024.9.15.12,,16.1,,7028123,15,,,9,45
-71.6913888888889,45.43861111111111,13.6,ND,QC,SHERBROOKE,2024,24,15,9,99.86,,,,0,,13,,29,NA,,25.4,5,2024-09-15T18:00:00,2024-09-15 13:00:00,2024,,7028123.2024.9.15.13,,16.1,,7028123,15,,,9,48
-71.6913888888889,45.43861111111111,14.1,ND,QC,SHERBROOKE,2024,,15,9,99.81,,,M,0,,14,,29,NA,,25.9,4,2024-09-15T19:00:00,2024-09-15 14:00:00,2024,,7028123.2024.9.15.14,,16.1,,7028123,15,,,9,48
-71.6913888888889,45.43861111111111,14.4,ND,QC,SHERBROOKE,2024,25,15,9,99.77,,,,0,,15,,30,NA,,25.9,5,2024-09-15T20:00:00,2024-09-15 15:00:00,2024,,7028123.2024.9.15.15,,16.1,,7028123,15,,,9,49
