x,y,LOCAL_DAY,PRECIP_AMOUNT_FLAG,VISIBILITY,STATION_PRESSURE_FLAG,WIND_SPEED_FLAG,WINDCHILL,ID,LOCAL_DATE,UTC_MONTH,WIND_SPEED,WIND_DIRECTION,UTC_YEAR,VISIBILITY_FLAG,UTC_DAY,CLIMATE_IDENTIFIER,WINDCHILL_FLAG,LOCAL_YEAR,PROVINCE_CODE,TEMP_FLAG,STATION_NAME,WEATHER_ENG_DESC,HUMIDEX,RELATIVE_HUMIDITY_FLAG,TEMP,RELATIVE_HUMIDITY,STATION_PRESSURE,UTC_DATE,WIND_DIRECTION_FLAG,LOCAL_HOUR,DEW_POINT_TEMP,WEATHER_FRE_DESC,LOCAL_MONTH,DEW_POINT_TEMP_FLAG,HUMIDEX_FLAG,PRECIP_AMOUNT
-78.83555555555556,48.20611111111111,6,,24.1,,,-24,7086719.2024.1.6.12,2024-01-06 12:00:00,1,16,10,2024,,6,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-15.3,72,98.38,2024-01-06T17:00:00,,12,-19.3,Neige,1,,,
-78.83555555555556,48.20611111111111,6,,24.1,,,-24,7086719.2024.1.6.13,2024-01-06 13:00:00,1,19,9,2024,,6,7086719,,2024,QC,,ROUYN-NORANDA A,Cloudy,,,-15.2,70,98.25,2024-01-06T18:00:00,,13,-19.5,Nuageux,1,,,
-78.83555555555556,48.20611111111111,6,,24.1,,,-21,7086719.2024.1.6.14,2024-01-06 14:00:00,1,12,12,2024,,6,7086719,,2024,QC,,ROUYN-NORANDA A,NA,,,-14.2,68,98.28,2024-01-06T19:00:00,,14,-18.9,ND,1,,,
-78.83555555555556,48.20611111111111,6,,24.1,,,-21,7086719.2024.1.6.15,2024-01-06 15:00:00,1,14,10,2024,,6,7086719,,2024,QC,,ROUYN-NORANDA A,NA,,,-13.9,70,98.2,2024-01-06T20:00:00,,15,-18.3,ND,1,,,
-78.83555555555556,48.20611111111111,6,,24.1,,,-22,7086719.2024.1.6.16,2024-01-06 16:00:00,1,19,9,2024,,6,7086719,,2024,QC,,ROUYN-NORANDA A,Cloudy,,,-13.8,71,98.14,2024-01-06T21:00:00,,16,-18.0,Nuageux,1,,,
-78.83555555555556,48.20611111111111,6,,24.1,,,-21,7086719.2024.1.6.17,2024-01-06 17:00:00,1,14,8,2024,,6,7086719,,2024,QC,,ROUYN-NORANDA A,NA,,,-13.8,75,98.03,2024-01-06T22:00:00,,17,-17.4,ND,1,,,
-78.83555555555556,48.20611111111111,6,,24.1,,,-21,7086719.2024.1.6.18,2024-01-06 18:00:00,1,14,10,2024,,6,7086719,,2024,QC,,ROUYN-NORANDA A,NA,,,-13.6,75,98.04,2024-01-06T23:00:00,,18,-17.2,ND,1,,,
-78.83555555555556,48.20611111111111,6,,3.2,,,-21,7086719.2024.1.6.19,2024-01-06 19:00:00,1,16,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-13.6,80,97.95,2024-01-07T00:00:00,,19,-16.4,Neige,1,,,
-78.83555555555556,48.20611111111111,6,,4.8,,,-21,7086719.2024.1.6.20,2024-01-06 20:00:00,1,16,11,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-13.4,78,97.86,2024-01-07T01:00:00,,20,-16.4,Neige,1,,,
-78.83555555555556,48.20611111111111,6,,2.8,,,-20,7086719.2024.1.6.21,2024-01-06 21:00:00,1,11,11,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-13.4,81,97.78,2024-01-07T02:00:00,,21,-16.0,Neige,1,,,
-78.83555555555556,48.20611111111111,6,,4.8,,,-18,7086719.2024.1.6.22,2024-01-06 22:00:00,1,7,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-13.2,82,97.68,2024-01-07T03:00:00,,22,-15.7,Neige,1,,,
-78.83555555555556,48.20611111111111,6,,12.9,,,-19,7086719.2024.1.6.23,2024-01-06 23:00:00,1,9,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-13.1,81,97.61,2024-01-07T04:00:00,,23,-15.7,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4,,,-18,7086719.2024.1.7.0,2024-01-07 00:00:00,1,9,9,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.8,82,97.52,2024-01-07T05:00:00,,0,-15.3,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4.8,,,-18,7086719.2024.1.7.1,2024-01-07 01:00:00,1,9,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.7,83,97.47,2024-01-07T06:00:00,,1,-15.0,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4,,,-17,7086719.2024.1.7.2,2024-01-07 02:00:00,1,8,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.4,83,97.44,2024-01-07T07:00:00,,2,-14.8,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4,,,-18,7086719.2024.1.7.3,2024-01-07 03:00:00,1,10,8,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.4,84,97.41,2024-01-07T08:00:00,,3,-14.5,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,12.9,,,-18,7086719.2024.1.7.4,2024-01-07 04:00:00,1,9,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.3,83,97.35,2024-01-07T09:00:00,,4,-14.6,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4,,,-18,7086719.2024.1.7.5,2024-01-07 05:00:00,1,10,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.2,83,97.28,2024-01-07T10:00:00,,5,-14.6,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4.8,,,-18,7086719.2024.1.7.6,2024-01-07 06:00:00,1,10,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.2,83,97.27,2024-01-07T11:00:00,,6,-14.6,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4.8,,,-17,7086719.2024.1.7.7,2024-01-07 07:00:00,1,7,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.2,84,97.25,2024-01-07T12:00:00,,7,-14.4,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,4.8,,,-17,7086719.2024.1.7.8,2024-01-07 08:00:00,1,7,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.2,84,97.24,2024-01-07T13:00:00,,8,-14.4,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,12.9,,,-15,7086719.2024.1.7.9,2024-01-07 09:00:00,1,5,10,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-12.1,81,97.23,2024-01-07T14:00:00,,9,-14.6,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,9.7,,,-16,7086719.2024.1.7.10,2024-01-07 10:00:00,1,9,12,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-11.3,77,97.21,2024-01-07T15:00:00,,10,-14.5,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,8.1,,,-11,7086719.2024.1.7.11,2024-01-07 11:00:00,1,1,36,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-10.5,75,97.2,2024-01-07T16:00:00,,11,-14.1,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,24.1,,,-11,7086719.2024.1.7.12,2024-01-07 12:00:00,1,3,36,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-9.0,70,97.13,2024-01-07T17:00:00,,12,-13.6,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,24.1,,,-10,7086719.2024.1.7.13,2024-01-07 13:00:00,1,2,36,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-9.0,71,97.12,2024-01-07T18:00:00,,13,-13.4,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,19.3,,,-9,7086719.2024.1.7.14,2024-01-07 14:00:00,1,2,36,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-8.4,72,97.13,2024-01-07T19:00:00,,14,-12.6,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,24.1,,,-10,7086719.2024.1.7.15,2024-01-07 15:00:00,1,3,24,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Snow,,,-8.1,72,97.17,2024-01-07T20:00:00,,15,-12.3,Neige,1,,,
-78.83555555555556,48.20611111111111,7,,24.1,,,-12,7086719.2024.1.7.16,2024-01-07 16:00:00,1,6,32,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,Mainly Clear,,,-8.6,75,97.25,2024-01-07T21:00:00,,16,-12.3,Généralement dégagé,1,,,
-78.83555555555556,48.20611111111111,7,,24.1,,,-12,7086719.2024.1.7.17,2024-01-07 17:00:00,1,1,36,2024,,7,7086719,,2024,QC,,ROUYN-NORANDA A,NA,,,-11.4,86,97.31,2024-01-07T22:00:00,,17,-13.3,ND,1,,,
