x,y,LOCAL_MONTH,WINDCHILL_FLAG,HUMIDEX,UTC_DATE,HUMIDEX_FLAG,RELATIVE_HUMIDITY_FLAG,RELATIVE_HUMIDITY,VISIBILITY_FLAG,STATION_PRESSURE,UTC_DAY,LOCAL_YEAR,VISIBILITY,WIND_SPEED,STATION_NAME,WEATHER_ENG_DESC,PROVINCE_CODE,TEMP,STATION_PRESSURE_FLAG,CLIMATE_IDENTIFIER,UTC_YEAR,LOCAL_DATE,ID,TEMP_FLAG,WINDCHILL,DEW_POINT_TEMP_FLAG,LOCAL_HOUR,PRECIP_AMOUNT_FLAG,PRECIP_AMOUNT,LOCAL_DAY,UTC_MONTH,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED_FLAG,WEATHER_FRE_DESC,DEW_POINT_TEMP
-78.07694444444445,58.471944444444446,6,,,2024-06-17T00:00:00,,,43,,100.3,17,2024,16.1,24,INUKJUAK A,NA,QC,16.9,,7103280,2024,2024-06-16 19:00:00,7103280.2024.6.16.19,,,,19,,0,16,6,9,,,ND,4.4
-78.07694444444445,58.471944444444446,6,,,2024-06-17T01:00:00,,,52,,100.26,17,2024,16.1,24,INUKJUAK A,NA,QC,15.2,,7103280,2024,2024-06-16 20:00:00,7103280.2024.6.16.20,,,,20,,0,16,6,8,,,ND,5.4
-78.07694444444445,58.471944444444446,6,,,2024-06-17T02:00:00,,,60,,100.22,17,2024,16.1,24,INUKJUAK A,NA,QC,12.9,,7103280,2024,2024-06-16 21:00:00,7103280.2024.6.16.21,,,,21,,0,16,6,9,,,ND,5.4
-78.07694444444445,58.471944444444446,6,,,2024-06-17T03:00:00,,,67,,100.19,17,2024,16.1,22,INUKJUAK A,NA,QC,11.3,,7103280,2024,2024-06-16 22:00:00,7103280.2024.6.16.22,,,,22,,0,16,6,9,,,ND,5.4
-78.07694444444445,58.471944444444446,6,,,2024-06-17T04:00:00,,,71,,100.12,17,2024,16.1,24,INUKJUAK A,NA,QC,10.3,,7103280,2024,2024-06-16 23:00:00,7103280.2024.6.16.23,,,,23,,0,16,6,9,,,ND,5.3
-78.07694444444445,58.471944444444446,6,,,2024-06-17T05:00:00,,,74,,100.08,17,2024,16.1,18,INUKJUAK A,NA,QC,9.6,,7103280,2024,2024-06-17 00:00:00,7103280.2024.6.17.0,,,,0,,0,17,6,10,,,ND,5.2
-78.07694444444445,58.471944444444446,6,,,2024-06-17T06:00:00,,,71,,100.0,17,2024,16.1,24,INUKJUAK A,NA,QC,9.9,,7103280,2024,2024-06-17 01:00:00,7103280.2024.6.17.1,,,,1,,0,17,6,11,,,ND,4.8
-78.07694444444445,58.471944444444446,6,,,2024-06-17T07:00:00,,,71,,99.92,17,2024,16.1,24,INUKJUAK A,NA,QC,9.8,,7103280,2024,2024-06-17 02:00:00,7103280.2024.6.17.2,,,,2,,0,17,6,11,,,ND,4.8
-78.07694444444445,58.471944444444446,6,,,2024-06-17T08:00:00,,,74,,99.87,17,2024,16.1,17,INUKJUAK A,NA,QC,9.7,,7103280,2024,2024-06-17 03:00:00,7103280.2024.6.17.3,,,,3,,0,17,6,10,,,ND,5.3
-78.07694444444445,58.471944444444446,6,,,2024-06-17T09:00:00,,,78,,99.73,17,2024,16.1,24,INUKJUAK A,NA,QC,10.2,,7103280,2024,2024-06-17 04:00:00,7103280.2024.6.17.4,,,,4,,0,17,6,12,,,ND,6.5
-78.07694444444445,58.471944444444446,6,,,2024-06-17T10:00:00,,,90,,99.65,17,2024,16.1,21,INUKJUAK A,Rain,QC,10.5,,7103280,2024,2024-06-17 05:00:00,7103280.2024.6.17.5,,,,5,,0,17,6,11,,,Pluie,8.9
-78.07694444444445,58.471944444444446,6,,,2024-06-17T11:00:00,,,98,,99.56,17,2024,11.3,30,INUKJUAK A,Rain,QC,12.1,,7103280,2024,2024-06-17 06:00:00,7103280.2024.6.17.6,,,,6,,0,17,6,14,,,Pluie,11.8
-78.07694444444445,58.471944444444446,6,,,2024-06-17T12:00:00,,,98,,99.51,17,2024,0.6,34,INUKJUAK A,"Rain,Fog",QC,10.5,,7103280,2024,2024-06-17 07:00:00,7103280.2024.6.17.7,,,,7,,0.2,17,6,16,,,"Pluie,Brouillard",10.2
-78.07694444444445,58.471944444444446,6,,,2024-06-17T13:00:00,,,98,,99.39,17,2024,1.2,34,INUKJUAK A,"Rain,Fog",QC,9.9,,7103280,2024,2024-06-17 08:00:00,7103280.2024.6.17.8,,,,8,,1,17,6,16,,,"Pluie,Brouillard",9.6
-78.07694444444445,58.471944444444446,6,,,2024-06-17T14:00:00,,,99,,99.33,17,2024,1.2,34,INUKJUAK A,Fog,QC,10.3,,7103280,2024,2024-06-17 09:00:00,7103280.2024.6.17.9,,,,9,,0,17,6,17,,,Brouillard,10.2
