Beauharnois,La grande-1,Rene-Levesque,Jean-Lesage,Outardes-3,Bersimis-2,Carillon,Outardes-2,Peribonka,Laforge-2,Trenche,La tuque,Beaumont,Romaine-1,McCormick,Rocher-de-Grand-Mere,Paugan,Shawinigan-2,Shawinigan-3,Manic-1,Rapides-des-Iles,Chelsea,Sarcelle,La Gabelle,Premiere-Chute,Les Cedres,Rapides-des-Quinze,Rapides-Farmer,Chute-des-Chats,Rapide-des-Coeurs,Chute-Allard,Bryson,Rapide-2,Riviere-des-Prairies,Chute-Hemmings,Sept-Chutes,Drummondville,Chute-Bell,Mitis-1,Mitis-2,Gull Island,dateTime
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 00:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 01:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 02:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 03:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 04:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 05:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 06:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 07:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 08:00:00+00:00
9170,629.0,1020,1020,389,140.0,878.0,389,14.51,86.5,220.0,220.0,220.0,58.5,1020,220.0,334.0,220.0,220.0,1020,878.0,334.0,428.0,220.0,878.0,9170,878.0,334.0,878.0,220.0,220.0,878.0,878.0,1365,106.0,30.28,106.0,40.07,33.8,33.8,1440,2025-01-01 09:00:00+00:00
